DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;43.89;
MESSAGE;45;9;6;2;680;1.42;
TEST;45;7;7;2;680;20.28;
ACTIVITY;132;13;10;2;3488;8.24;
PERSISTENCE;92;19;13;4;708;5.81;
ENTITY;47;11;6;2;680;1.71;
FRAGMENT;311;25;14;2;4557;4.66;
VIEW;214;47;16;3;3620;4.43;
SERVICE;123;23;17;3;1441;1.12;
