DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;24.37;
ACTIVITY;132;13;10;2;3488;19.56;
ADAPTER;145;24;16;3;680;2.47;
PERSISTENCE;92;19;13;4;708;8.71;
ELEMENT;45;7;6;2;680;1.39;
ASYNCTASK;158;36;20;2;680;4.73;
ENTITY;47;11;6;2;680;5.24;
ABSTRACTGENERATOR;45;7;6;3;680;1.55;
FRAGMENT;311;25;14;2;4557;7.16;
[TRANSFERABLE];93;18;22;2;680;3.66;
ABSTRACTPARSER;180;62;17;2;680;3.39;
SERVICE;123;23;17;3;1441;11.35;
