DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;21.97;
TEST;45;7;7;2;680;16.74;
ACTIVITY;132;13;10;2;3488;1.23;
ADAPTER;145;24;16;3;680;1.15;
PERSISTENCE;92;19;13;4;708;3.31;
CONTROLLER;520;148;49;12;8258;1.16;
FRAGMENT;311;25;14;2;4557;9.11;
VIEW;214;47;16;3;3620;28.74;
WIDGET;50;8;15;3;680;1.45;
MODEL;45;7;9;2;680;5.52;
ABSTRACTIMPORTER;45;7;11;2;680;1.56;
