DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;31.25;
TRACKER;479;161;7;2;680;1.95;
TEST;45;7;7;2;680;1.86;
ACTIVITY;132;13;10;2;3488;19.17;
FRAGMENT;311;25;14;2;4557;29.46;
VIEW;214;47;16;3;3620;4.49;
SITESETTINGSINTERFACE;79;12;6;2;810;1.16;
SERVICE;123;23;17;3;1441;2.82;
