DesignRoleTechnique;LOC;CC;Efferent;NOP;CLOC
UNDEFINED;30;6;9;3;151;
[CALENDARACCESSOR];30;6;12;5;140;
PERSISTENCE;28;5;7;3;228;
APPLICATION;34;5;7;2;227;
EXCEPTION;21;5;7;2;140;
[ITERATOR];21;5;7;2;140;
BROADCASTRECEIVER;33;6;11;2;140;
VIEW;21;5;7;2;140;
ENTITY;21;5;7;2;163;
TEST;21;5;7;2;140;
[DRIVER| JOBVALIDATOR];21;5;7;2;140;
FRAGMENT;32;5;7;2;384;
SERVICE;24;8;7;2;176;
ASYNCTASK;50;12;16;4;348;
PREFERENCE;29;8;7;2;360;
ACTIVITY;37;12;8;3;496;
[TRUSTEDSOCKETFACTORY];21;5;7;4;140;
