Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\webanno,"0,25"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\kafka-webview,"0,50"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\ice,"0,36"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\bonita-web,"0,19"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\optaweb-vehicle-routing,"0,36"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\openmrs-core,"0,36"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\heritrix3,"0,07"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\metl,"0,31"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\mes,"0,34"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\bamboobsc,"0,60"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\web-budget,"0,04"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\phenotips,"0,98"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\zanata-platform,"0,33"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\geowe-core,"0,08"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\bigbluebutton,"0,31"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\libreplan,"0,21"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\openmpf,"0,58"
D:\Projetos\_Web\phenotips,D:\Projetos\_Web\jbpm-wb,"0,34"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\webprotege,"0,32"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\kafdrop,"0,38"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\webofneeds,"0,43"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\aet,"0,13"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\webanno,"0,35"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\ice,"0,62"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\bonita-web,"0,42"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\optaweb-vehicle-routing,"0,33"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\openmrs-core,"0,38"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\heritrix3,"0,07"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\metl,"0,49"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\mes,"0,43"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\bamboobsc,"0,27"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\web-budget,"0,19"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\phenotips,"0,33"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\zanata-platform,"0,97"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\geowe-core,"0,25"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\bigbluebutton,"0,36"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\libreplan,"0,31"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\openmpf,"0,39"
D:\Projetos\_Web\zanata-platform,D:\Projetos\_Web\jbpm-wb,"0,56"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\webprotege,"0,02"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\kafdrop,"0,05"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\webofneeds,"0,07"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\aet,"0,05"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\webanno,"0,08"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\ice,"0,12"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\bonita-web,"0,15"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\optaweb-vehicle-routing,"0,07"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\openmrs-core,"0,07"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\heritrix3,"0,03"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\metl,"0,14"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\mes,"0,06"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\bamboobsc,"0,04"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\web-budget,"0,03"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\phenotips,"0,08"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\zanata-platform,"0,25"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\geowe-core,"0,99"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\bigbluebutton,"0,21"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\libreplan,"0,05"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\openmpf,"0,06"
D:\Projetos\_Web\geowe-core,D:\Projetos\_Web\jbpm-wb,"0,13"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\webprotege,"0,08"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\kafdrop,"0,09"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\webofneeds,"0,24"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\aet,"0,24"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\webanno,"0,32"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\kafka-webview,"0,12"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\ice,"0,22"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\bonita-web,"0,09"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\optaweb-vehicle-routing,"0,22"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\openmrs-core,"0,17"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\heritrix3,"0,16"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\metl,"0,52"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\mes,"0,11"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\bamboobsc,"0,09"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\web-budget,"0,07"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\phenotips,"0,31"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\zanata-platform,"0,36"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\geowe-core,"0,21"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\bigbluebutton,"0,97"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\libreplan,"0,08"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\openmpf,"0,19"
D:\Projetos\_Web\bigbluebutton,D:\Projetos\_Web\jbpm-wb,"0,50"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\webprotege,"0,02"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\kafdrop,"0,41"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\webofneeds,"0,31"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\aet,"0,04"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\webanno,"0,17"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\kafka-webview,"0,01"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\ice,"0,37"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\bonita-web,"0,16"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\optaweb-vehicle-routing,"0,25"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\openmrs-core,"0,34"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\heritrix3,"0,02"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\metl,"0,14"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\mes,"0,45"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\bamboobsc,"0,21"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\web-budget,"0,04"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\phenotips,"0,21"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\zanata-platform,"0,31"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\geowe-core,"0,05"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\bigbluebutton,"0,08"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\libreplan,"0,99"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\openmpf,"0,38"
D:\Projetos\_Web\libreplan,D:\Projetos\_Web\jbpm-wb,"0,17"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\webprotege,"0,03"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\kafdrop,"0,91"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\webofneeds,"0,67"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\aet,"0,07"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\webanno,"0,30"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\kafka-webview,"0,51"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\ice,"0,45"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\bonita-web,"0,25"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\optaweb-vehicle-routing,"0,49"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\openmrs-core,"0,56"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\heritrix3,"0,03"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\metl,"0,22"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\mes,"0,78"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\bamboobsc,"0,76"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\web-budget,"0,02"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\phenotips,"0,58"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\zanata-platform,"0,39"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\geowe-core,"0,06"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\bigbluebutton,"0,19"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\libreplan,"0,38"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\openmpf,"0,99"
D:\Projetos\_Web\openmpf,D:\Projetos\_Web\jbpm-wb,"0,29"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\webprotege,"0,46"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\kafdrop,"0,31"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\webofneeds,"0,32"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\aet,"0,16"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\webanno,"0,41"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\ice,"0,19"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\bonita-web,"0,28"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\optaweb-vehicle-routing,"0,33"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\openmrs-core,"0,28"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\heritrix3,"0,09"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\metl,"0,62"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\mes,"0,36"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\bamboobsc,"0,15"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\web-budget,"0,05"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\phenotips,"0,34"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\zanata-platform,"0,56"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\geowe-core,"0,13"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\bigbluebutton,"0,50"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\libreplan,"0,17"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\openmpf,"0,29"
D:\Projetos\_Web\jbpm-wb,D:\Projetos\_Web\jbpm-wb,"0,99"
