DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;23.01;
ACTIVITY;132;13;10;2;3488;2.14;
ADAPTER;145;24;16;3;680;1.13;
PERSISTENCE;92;19;13;4;708;1.67;
DIALOG;121;19;13;3;1214;2.61;
NOTIFICATION;541;180;21;5;1737;1.39;
CONTROLLER;520;148;49;12;8258;9.45;
FRAGMENT;311;25;14;2;4557;21.8;
VIEW;214;47;16;3;3620;25.47;
SERVICE;123;23;17;3;1441;1.48;
