DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;33.8;
WEBSETTINGS;45;7;6;2;680;2.39;
[MPDBUILDER];45;7;6;2;680;1.54;
TEST;45;7;7;2;680;1.15;
ACTIVITY;132;13;10;2;3488;3.07;
DIALOG;121;19;13;3;1214;2.63;
CONTROLLER;520;148;49;12;8258;4.49;
ASYNCTASK;158;36;20;2;680;1.88;
ENTITY;47;11;6;2;680;3.67;
FRAGMENT;311;25;14;2;4557;4.95;
ONMEDIAFOUNDCALLBACK;45;7;7;2;680;1.12;
VIEW;214;47;16;3;3620;22.51;
REQUESTINTERCEPTOR;45;9;6;2;680;2.5;
SMARTPREFERENCESBASE;45;7;6;2;680;1;
