Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.archive.spring.ConfigPath,setConfigurer,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.LongToIntConsistentHash,installReplicasUpTo,null,8,3,1,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.ObjectIdentityBdbCache,get,null,3,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.util.PrefixFinder,last,null,3,2,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.spring.SheetOverlaysManager,addRuleAssociations,null,4,1,2,1,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.fetcher.SimpleCookieStorage,prepareMap,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.credential.Credential,isPost,null,0,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.framework.CrawlJob,getJobLog,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.restlet.ScriptingConsoleTest,setUp,null,5,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.framework.CrawlJob,terminate,null,5,2,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.net.RobotsDirectives,getCrawlDelay,null,3,1,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.deciderules.surt.SurtPrefixedDecideRule,getSeeds,null,3,1,2,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.BdbFrontier,get,null,7,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.crawler.frontier.WorkQueueFrontier,getMaxInWait,null,4,2,3,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.ProcessorChain,stop,null,6,2,1,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
org.archive.modules.fetcher.FetchHTTPTests,clear,null,3,1,0,0,null,484b3574d751173439fe0ee0426c051fcec98101,,,,
