Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.orders.ManageOrderElementAdvancesController,appendLabelPercentage,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.workreports.WorkReportQueryController,createWRLPredicates,Muitos Parametros,"[A, R, D, V, X]",4f0686565daef03b8e02f988f918feb69abb0647,MOVE_OPERATION,"private createWRLPredicates(type String, resource Resource, startDate Date, finishDate Date, orderElement OrderElement, hoursType TypeOfWorkHours) : Collection<? extends WorkReportLinePredicate>","private createWRLPredicates(type String, resource Resource, startDate Date, finishDate Date, orderElement OrderElement, hoursType TypeOfWorkHours) : Collection<? extends WorkReportLinePredicate>"
org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenOneTaskWithTwoDependantTasksLastOneWithEqualConstraint,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.business.planner.entities.allocationalgorithms.UntilFillingHoursAllocator,minusEffort,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.web.workreports.WorkReportCRUDController,appendHoursType,Metodo Longo,[D],,,,
org.zkoss.ganttz.timetracker.zoom.DetailThreeTimeTrackerState,round,Muitos Desvios,[D],,,,
org.libreplan.web.resources.search.NewAllocationSelectorController,validate,Muitos Desvios,"[D, V]",,,,
org.libreplan.web.planner.tabs.PlanningTabCreator,createGlobalPlanningTab,Metodo Longo,"[A, R, D, V, X]",,,,
org.libreplan.business.resources.daos.ResourceLoadRatiosCalculator,getAllEffortPerDateFor,Muitos Parametros,"[A, V]",,,,
org.libreplan.ws.workreports.impl.WorkReportConverter,updateWorkReportLine,Metodo Longo,"[R, D, V]",,,,
org.libreplan.business.test.orders.entities.OrderElementTest,checkAdvanceMeasurementMerge,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
org.libreplan.web.reports.WorkingProgressPerTaskModel,getWorkingProgressPerTaskReport,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
org.libreplan.web.common.JobSchedulerController,onEvent,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.tree.TreeController,set,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.workreports.WorkReportCRUDController,validateWorkReportLine,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.web.orders.AssignedTaskQualityFormsToOrderElementController,appendCheckboxReportAdvance,Metodo Longo,[D],,,,
org.libreplan.web.planner.order.OrderPlanningModel,setConfigurationToPlanner,Muitos Parametros,"[A, R, D, V, X]",909eab9f52c1216713038e1013d6fe161fbe74a4,EXTRACT_OPERATION,"public setConfigurationToPlanner(planner Planner, order Order, switcher ViewSwitcher, editTaskController EditTaskController, advancedAllocationTaskController AdvancedAllocationTaskController, advanceAssignmentPlanningController AdvanceAssignmentPlanningController, advanceConsolidationController AdvanceConsolidationController, calendarAllocationController CalendarAllocationController, additional List<ICommand<TaskElement>>) : void","private getZoomLevel(configuration PlannerConfiguration<TaskElement>, order Order) : ZoomLevel"
