Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,5c608c9a4a522f9022d2d3e2bb436aaee4ad6209,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,45b862010253600ae020c02ee77371561b83747b,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,b8d76639f3d1ba53b75d910abcc308a81e3a7592,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,EXTRACT_OPERATION,private forceLoadOfResourceAllocationsResourcesAndAssignmentFunction(taskElement TaskElement) : void,private forceLoadOfDerivedAllocation(derivedAllocation DerivedAllocation) : void
org.libreplan.web.planner.order.PlanningStateCreator,on,,,3c5c14d728c0eeca339bd670d4826b4a65253a6c,PARAMETERIZE_VARIABLE,eachDerived : DerivedAllocation,derivedAllocation : DerivedAllocation
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,7364bb000dd197c72bab9847f4dceedc507d7046,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_PARAMETER,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_PARAMETER_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,RENAME_ATTRIBUTE,anyOf : Collection<? extends Criterion>,criterion : Criterion
org.libreplan.web.planner.order.PlanningStateCreator,on,,,d7ca61862701a88504c60593b5f1ddc0cf16c998,CHANGE_ATTRIBUTE_TYPE,anyOf : Collection<? extends Criterion>,criterion : Criterion
