Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.cognifide.aet.communication.api.node.UrlNodeMetadata,getTestName,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.layout.LayoutComparatorResult,getCurrentCreateDate,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.CollectorJobScheduler,removeFromQueueMap,null,5,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.collectors.screen.ScreenCollectorResult,getMD5,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.job.ComparatorResultData,getProcessingError,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.util.ExecutionTimer,getExecutionTimeInNanos,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.comments.api.Comment,getLevel,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.datamodifiers.jserrorsfilter.JsErrorsFilter,matchNumbers,null,3,1,3,2,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.visitors.MetadataArtifactQueryParametersVisitor,visitNodeMetadata,null,9,1,2,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.util.ExecutionTimer,createAndRun,null,3,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.node.CompareMetadata,equals,null,10,4,2,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.StepManager,getQueueInName,null,0,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.visitors.MetadataArtifactPathVisitor,visitUrlNode,null,12,2,6,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.datamodifiers.extractelement.ExtractElementDataModifierFactory,createInstance,null,5,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.TestLifeCycleTest,run_exceptionThrown_expectSuiteExecutorCleanedUp,null,5,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.ResultsDispatcherTest,closeConnections,null,5,1,0,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.modifiers.click.ClickModifierTest,setParameters_whenInvalidTimeoutParamIsProvided_thenExceptionIsThrown,null,5,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.SuiteAgentTest,update_whenReportGenerationForced_expectMessageSent,null,5,1,3,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.report.html.FreemarkerResourceProvider,getResources,null,3,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.gridfs.VersionStorageImpl,getCorrelationId,null,3,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.config.ComparatorStep,getCollectorName,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.CollectorJobScheduler,fixMessageCounter,null,12,3,6,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.w3chtml5.parser.W3cHtml5ValidationResultParser,invoke,null,20,3,0,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,patch_toText,null,7,2,4,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.MessageWithDestination,getMessagesToReceived,null,3,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.queues.DefaultJmsConnection,updateProperties,null,5,1,1,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.worker.impl.JobRegistryImplTest,unbindDataModifierFactory_expectModifierRemovedFromJobRegistry,null,7,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.gridfs.VersionStorageImpl,getReportsExecutions,null,3,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.gridfs.VersionStorageImpl,getResultsArtifacts,null,3,1,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.util.ExecutionTimer,finish,null,4,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.modifiers.waitforpageloaded.WaitForPageLoadedModifierTest,testTimeout,null,10,2,6,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.node.builders.AMetadataBuilder,self,null,0,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.maven.plugins.RunTestSuitMojo,validateConfiguration,null,5,2,3,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.source.SourceComparator,setParameters,null,5,2,3,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.proxy.EmbeddedProxyServer,getHar,null,3,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
null,null,null,3,1,1,0,null,926bcff21f981901bdf27cc7cf55a2e38a3f4d3c,MOVE_OPERATION,"private getColumnNumber(lineBreaks int, beforeOccurrence String) : int","private getColumnNumber(lineBreaks int, beforeOccurrence String) : int"
com.cognifide.aet.comments.dao.mongodb.CommentDAOMongoDBImpl,getMetadataParameters,null,15,3,8,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.messages.TaskMessage,getData,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.vs.cleaner.CleanerJob,canRemoveNodes,null,6,1,3,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.layout.LayoutComparatorResult,getPatternUrl,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.CollectDispatcherTest,cancel_expectCleanupOnCollectorJobSchedulerInvoked,null,4,1,0,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.node.NodeMetadata,setDomain,null,3,1,2,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.runner.distribution.dispatch.StepManagerTest,onError_verifyObserversNotified,null,4,1,3,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.layout.LayoutComparatorResult,setHeightDifference,null,3,1,2,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.worker.helpers.JavaScriptError,addExtension,null,3,1,1,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.comparators.source.diff.ResultDelta,setOriginal,null,3,1,2,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.api.collector.ResponseObjectTest,setUp,null,4,1,2,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
null,null,null,12,2,6,1,null,201bcf19d1471c74e175133df072e294e13f23e5,MOVE_OPERATION,public getAetQueuesObjects(connection MBeanServerConnection) : Set<ObjectName>,protected getAetQueuesObjects(connection MBeanServerConnection) : Set<ObjectName>
com.cognifide.aet.vs.cleaner.CleanerJob,setStorage,null,3,1,2,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.job.ReporterJobData,getResultNodeMetadatas,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.xmlparser.xml.utils.ValidationUtilsTest,testValidateNameAttributeWithSlashesThenExpectException,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.modifiers.login.LoginFormComponent,getElementByXpath,null,5,1,6,2,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.job.common.collectors.statuscodes.StatusCodesCollectorResult,getStatusCodes,null,3,1,1,0,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
com.cognifide.aet.communication.api.config.TestSuiteRun,getMap,null,7,2,4,1,null,b787aa4d4342673e4195c7567d90895f15720cd3,,,
