Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,TEST,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenPairOfTasksEndEndFirstOfThemWithOneSubtask,20,1,7,3,Muitos Parametros
 V ,ENTITY,org.libreplan.business.planner.entities.ResourceAllocation,secondsDistribution,8,2,8,3,Muitos Parametros
 V ,MULTIPLEFILTERSFINDER,org.libreplan.web.common.components.finders.TaskElementsMultipleFiltersFinder,searchInCriterions,15,6,5,2,Muitos Desvios
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.costcategories.CostCategoryCRUDController,doAfterCompose,23,1,0,1,Metodo Longo
 V ,SERVICE,org.libreplan.web.resources.worker.WorkerModel,addSatisfaction,27,6,7,3,Muitos Parametros
 V ,UNDEFINED,org.libreplan.web.tree.EntitiesTree,createFilteredTreeFrom,6,1,5,3,Muitos Parametros
" D, V ",TEST,org.libreplan.business.test.planner.entities.DerivedAllocationTest,matches,25,7,11,1,Alto Acoplamento Efferent
 V ,DIV,org.libreplan.web.common.CustomMenuController,activateCurrentOne,26,8,4,0,Metodo Longo
 X ,PERSISTENCE,org.libreplan.business.orders.daos.OrderDAO,getOrdersByReadAuthorizationByScenario,10,2,7,2,Alto Acoplamento Efferent
 V ,UNDEFINED,org.libreplan.ws.costcategories.impl.CostCategoryConverter,updateHourCost,19,5,8,2,Muitos Desvios
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.users.UserCRUDController,onEvent,3,1,9,1,Alto Acoplamento Efferent
" D, V ",GENERICFORWARDCOMPOSER,org.libreplan.web.resources.worker.CriterionsMachineController,showInvalidInputs,21,6,7,0,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.libreplan.web.planner.order.SaveCommandBuilder,execute,7,10,14,0,Alto Acoplamento Efferent
 V ,TEST,org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenTwoTasksWithSubtasksRelatedWithStartStart,23,1,7,4,Metodo Longo
 V ,ABSTRACTUSERDETAILSAUTHENTICATIONPROVIDER,org.libreplan.web.users.services.LDAPCustomAuthenticationProvider,getMatchedRoles,16,3,8,3,Muitos Parametros
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.expensesheet.ExpenseSheetCRUDController,appendDateInLines,29,1,0,1,Metodo Longo
 V ,SERVICE,org.libreplan.web.users.dashboard.PersonalTimesheetsAreaModel,getNumberOfOrderElementsWithTrackedTime,15,5,7,1,Muitos Desvios
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.planner.order.SubcontractController,addDeliverDate,17,5,5,1,Muitos Desvios
 X ,PERSISTENCE,org.libreplan.business.planner.daos.SubcontractedTaskDataDAO,getAllForMasterScenario,15,5,7,0,Alto Acoplamento Efferent
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.planner.taskedition.TaskPropertiesController,init,27,5,9,3,Metodo Longo
