Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.User,setUserRoles,3,1,2,1,Muitos Parametros
" A, V ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.mediainspection.MediaInspectionProcessor,generateExifMetadata,16,1,12,1,Alto Acoplamento Efferent
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.MediaController,saveMediaFileUpload,55,9,17,2,Alto Acoplamento Efferent
 V ,[STAGESPLITTER],org.mitre.mpf.wfm.camel.operations.markup.MarkupStageSplitter,addTrackToBoundingBoxMap,39,6,11,2,Muitos Desvios
" A, R, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.jobcreation.JobCreationProcessor,wfmProcess,48,7,15,1,Alto Acoplamento Efferent
" D, V ",TEST,org.mitre.mpf.wfm.ITWebREST,test2CancelInProgressJob,27,4,11,0,Alto Acoplamento Efferent
" A, R, D, V, X ",TEST,org.mitre.mpf.wfm.camelOps.TestMarkupResponseProcessor,testMarkupResponse,30,1,16,0,Alto Acoplamento Efferent
 V ,[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,cancel,29,6,11,1,Muitos Desvios
" A, R, D, V, X ",ADAPTER,org.mitre.mpf.nms.MasterNodeStateManager,receive,56,16,8,1,Muitos Desvios
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.NodeController,saveNodeManagerConfigRest,21,6,10,3,Muitos Parametros
" A, R, D, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.JobCompleteProcessorImpl,createOutputObject,112,29,40,2,Muitos Desvios
 V ,TEST,org.mitre.mpf.wfm.ITWebREST,PostJSON,30,8,8,3,Metodo Longo
" D, V ",[REDIS],org.mitre.mpf.wfm.data.RedisImpl,clearJob,57,17,10,1,Alto Acoplamento Efferent
" A, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.MediaController,saveMedia,83,15,22,4,Muitos Parametros
 V ,UNDEFINED,org.mitre.mpf.wfm.camel.operations.detection.trackmerging.TrackMergingPlan,compareTo,12,7,5,1,Muitos Desvios
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.AdminStatisticsController,updateSingleJobStatus,73,28,9,3,Metodo Longo
" A, V ",[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,createRequest,17,6,12,7,Alto Acoplamento Efferent
 V ,SERVICE,org.mitre.mpf.wfm.service.PipelineServiceImpl,createJsonPipeline,29,6,10,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.frameextractor.FrameExtractor,execute,33,5,11,0,Metodo Longo
" D, V ",TEST,org.mitre.mpf.nms.TestNodeService,testIncrementAndDecrementExistingService,34,1,11,0,Metodo Longo
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.StreamingJobController,createStreamingJobInternal,40,7,14,1,Muitos Desvios
 V ,[CLUSTERCHANGENOTIFIER],org.mitre.mpf.wfm.nodeManager.NodeManagerStatus,getCurrentNodeManagerHostsAddressMap,17,5,9,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.wfm.ui.HomePage,logout,30,5,0,1,Muitos Desvios
 V ,UNDEFINED,org.mitre.mpf.component.executor.detection.MPFDetectionBuffer,createImageResponseMessage,14,3,9,4,Alto Acoplamento Efferent
" A, R, D, V, X ",ASYNCTASK,org.mitre.mpf.nms.BaseServiceLauncher,run,6,16,11,0,Muitos Desvios
 V ,UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.TaskDefinition,isValid,23,7,4,0,Metodo Longo
 V ,SERVICE,org.mitre.mpf.wfm.service.PipelineServiceImpl,validateMarkupPipeline,14,3,10,3,Alto Acoplamento Efferent
" D, V ",TEST,org.mitre.mpf.mst.TestSystemNightly,waitForSomeProgress,22,6,7,0,Muitos Desvios
 V ,TEST,org.mitre.mpf.wfm.ITWebREST,test_Jobs_Status_Single,26,3,6,0,Metodo Longo
 V ,TEST,org.mitre.mpf.wfm.segmenting.TestMediaSegmenter,assertContainsAlgoProperty,5,2,3,3,Muitos Parametros
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.JobController,createJobInternal,45,11,18,2,Alto Acoplamento Efferent
" A, R, D, V, X ",[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,(static_block),0,1,16,0,Alto Acoplamento Efferent
" A, R, D, V, X ",UNDEFINED,org.mitre.mpf.nms.MasterNode,loadConfigFile,113,24,18,2,Alto Acoplamento Efferent
" D, V ",TEST,org.mitre.mpf.wfm.camelOps.TestDetectionSplitter,testMediaSpecificPropertiesResettingJobProperty,31,4,13,3,Metodo Longo
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.MarkupResult,setId,3,1,2,1,Muitos Parametros
" A, R, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.mediainspection.MediaInspectionProcessor,wfmProcess,59,9,12,1,Metodo Longo
 V ,MPFMESSENGERBASE,org.mitre.mpf.component.executor.detection.MPFDetectionMessenger,buildAndSend,15,3,8,3,Muitos Parametros
 V ,WFMPROCESSOR,org.mitre.mpf.wfm.camel.JobCompleteProcessorImpl,wfmProcess,47,8,16,1,Muitos Desvios
 V ,PERSISTENCE,org.mitre.mpf.wfm.businessrules.impl.StreamingJobRequestBoImpl,jobCompleted,29,6,10,2,Alto Acoplamento Efferent
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.MediaController,createRemoteMediaDirectory,24,5,9,3,Metodo Longo
 V ,UNDEFINED,org.mitre.mpf.videooverlay.BoundingBox,setColor,20,9,2,4,Muitos Desvios
" D, V ",TEST,org.mitre.mpf.wfm.ITWebREST,test_Pipelines_Available,31,6,6,0,Muitos Desvios
" A, R, V, X ",[REDIS],org.mitre.mpf.wfm.data.RedisImpl,setTracks,17,4,10,5,Muitos Parametros
" D, V ",[MEDIASEGMENTER],org.mitre.mpf.wfm.segmenting.VideoMediaSegmenter,createTimePairMessages,12,2,11,3,Alto Acoplamento Efferent
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.MarkupResult,setSourceUri,3,1,2,1,Muitos Parametros
 V ,TEST,org.mitre.mpf.videooverlay.TestBoundingBoxMap,testPutOnFrames,22,2,4,0,Metodo Longo
" D, V ",TEST,org.mitre.mpf.wfm.camelOps.TestRemoteMediaProcessor,testValidRetrieveRequest,15,1,11,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.mst.TestSystem,addAction,9,3,6,3,Muitos Parametros
" A, D, V ",TEST,org.mitre.mpf.wfm.service.component.TestAddComponentService,testRegistrationHappyPath,21,1,12,0,Alto Acoplamento Efferent
 V ,TEST,org.mitre.mpf.wfm.ITWebREST,test1ProcessMedia,22,2,8,0,Metodo Longo
 V ,UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,isValid,23,7,4,0,Metodo Longo
