RELATÓRIO COMPLETO SISTEMA
Commit,Date Commit,Number Classes,Number Methods,System LOC
00a36b76abb5fea84644ecb7fa5eb2c116d4c8a2,12-02-2019 23:44:38,144,533,16947
05870b2895db1d2c31d916ee10c5d2740cb25bb2,26-01-2016 12:54:36,119,646,17026
54e35510d70112ca35dba2c9025801f70a1dffe2,19-09-2016 23:20:32,146,866,21268
64b1a758427eb90933030e5f6215452ada0201cb,12-03-2015 14:00:42,71,393,10470
22fa4c63216923955cfa358854cfb913715a1ca4,26-03-2016 21:31:32,129,710,18178
37efb52bc542a11860a9034d8f32591fbbf5cb17,09-03-2015 23:37:11,70,391,10368
581a939cddfe9f9659fd528484dce46fad07f243,09-06-2018 00:25:20,121,525,16992
68100a95aa405dfa15ccf2190b237638d399396b,06-03-2019 01:27:02,136,524,15162
025ad99cb88526d6e97f7cb22cda2d0aa9dfaa45,18-04-2016 01:32:26,129,716,18163
17b21f494e55a821e898ba5bd328b9ab0eede47d,09-04-2018 21:54:10,118,459,17379
46ffe86603fa5c315fe166ccc9c1f4b599b99479,26-11-2018 23:25:18,134,551,16726
7b0586a0c833e8ded9dff57a68f9ecea60ce2236,12-03-2019 00:18:14,140,544,15471
fd76f45481b5e6c231c897d0ae6ba4d49f00e698,23-03-2018 17:25:47,110,399,16539
7e5a0b5b8924703827998bedfa80c1914981664d,25-05-2015 23:38:40,85,422,11425
47e4d7ee302c2d254da2cd4875382fdd2cff7f7c,28-06-2015 21:14:18,98,439,12875
a4dac71e4dc6eff72489887a8db3ef749778e14f,06-03-2016 16:36:09,128,703,18004
4ba57d13c8ad337258b93cb68163009e3ebd3d09,27-07-2015 14:25:15,103,476,13199
ed034b0e7e359d50cf0a985e75e5509843d66f9b,09-07-2018 00:08:21,121,515,16855
1305ed471065ea27c34e08d59fb71bc93466b9d6,28-09-2018 00:15:06,131,534,17458
6fb0292467364a1e999646c339ffd62a153a37d3,04-04-2019 22:27:11,151,579,16528
