Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,3ef51aca1c550b8ba245227f9cbf0aeb0f4bb9ab,MOVE_CLASS,flowctrl.integration.slack.SlackSearchQueryBuilder,allbegray.slack.SlackSearchQueryBuilder,
flowctrl.integration.slack.SlackSearchQueryBuilder,in,null,3,1,2,1,null,3ef51aca1c550b8ba245227f9cbf0aeb0f4bb9ab,MOVE_CLASS,flowctrl.integration.slack.SlackSearchQueryBuilderTest,allbegray.slack.SlackSearchQueryBuilderTest,
flowctrl.integration.slack.webapi.method.channels.ChannelUnarchiveMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeReactionToMessage,null,6,1,4,3,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,"public removeReactionToMessage(emojiName String, channel String, timestamp String) : boolean","public removeReactionFromMessage(emojiName String, channel String, timestamp String) : boolean",
flowctrl.integration.slack.SlackSearchQueryBuilder,inChannelName,null,7,2,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inChannelName(channelName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
allbegray.slack.MessageEventListener,handleMessage,null,3,1,2,1,null,e21a8e275c2f9526fe2d3890983258cbc8f059b2,RENAME_METHOD,public handleMessage(message JsonNode) : void,public onMessage(message JsonNode) : void,
flowctrl.integration.slack.webapi.method.channels.ChannelMarkMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.SlackTextBuilder,paragraphs,null,4,1,3,1,null,1a22a42b0ce48777ed6dcc373c992d1a1aa3910a,RENAME_METHOD,public paragraphs(text String) : SlackTextBuilder,public paragraph(text String) : SlackTextBuilder,
flowctrl.integration.slack.webapi.method.channels.ChannelInviteMethod,validate,null,8,3,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.channels.ChannelLeaveMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,removeStarToFile,null,5,1,4,1,null,d6ec914b440c25dc16a96945e4d8a6a5d767a5bb,RENAME_METHOD,public removeStarToFile(file String) : boolean,public removeStarFromFile(file String) : boolean,
