Commit,NumberOfClasses,NumberOfMethods,SystemLOC
25302694d0d0a81eaf91cddac0d544e5e89f57f7,67,378,9992
fa6fa5ef8b1bd8892b3c0c6f0d2e567553dead16,105,500,13689
ab76b39f920b71e83437c887514ac030d0516d44,71,393,10470
64b1a758427eb90933030e5f6215452ada0201cb,70,389,10362
d500d6e0fb32e5c25c147401cc0b33816c2ee76a,103,483,13404
7a05c23a16a1da04aa92570bcddcbfd36ee4dfd1,119,646,17026
9fb5074ac21c2fcab19f27dab39dadc104e0e633,111,419,16752
47e4d7ee302c2d254da2cd4875382fdd2cff7f7c,98,435,12583
37efb52bc542a11860a9034d8f32591fbbf5cb17,70,390,10381
c37da8833bb2488711f0e8a745469d7fcd6703f0,71,391,10429
e95bd120f20e05e960a7617544ba8e2bfd08d138,70,391,10406
14a2617befdb97b0e965ac5c55ba8caa5f68478a,129,699,17923
