Commit,NumberOfClasses,NumberOfMethods,SystemLOC
b3f9a0784b9a61ad713675aac3543e0035345e85,497,4372,67474
ffd38eae98d6591eb018e6b17d9e5544b13ca69f,376,3161,48033
4fb679dc8deb87c7a079d2b47fb2a7f72f5893cb,400,3330,50890
