Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,TEST,org.optaweb.vehiclerouting.plugin.planner.RouteChangedEventPublisherTest,initialized_solution_should_have_one_route_per_vehicle,26,3,10,0,Alto Acoplamento Efferent
 V ,[ROUTEOPTIMIZER],org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerImpl,addLocation,23,4,9,2,Metodo Longo
 V ,UNDEFINED,org.optaweb.vehiclerouting.plugin.planner.SolutionUtil,addVehicle,7,1,4,3,Muitos Parametros
" D, V ",TEST,org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicleTest,remove_vehicle,38,1,9,0,Metodo Longo
" A, R, D, V, X ",TEST,org.optaweb.vehiclerouting.plugin.websocket.RoutePublisherImplTest,portable_routing_plan_with_two_routes,41,1,14,0,Alto Acoplamento Efferent
" A, D, V, X ",TEST,org.optaweb.vehiclerouting.plugin.websocket.PortableRouteTest,visit,3,1,6,4,Muitos Parametros
" A, V, X ",SERVICE,org.optaweb.vehiclerouting.service.route.RouteListener,onApplicationEvent,12,2,12,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.optaweb.vehiclerouting.plugin.planner.RouteChangedEventPublisher,routes,21,6,10,1,Muitos Desvios
" A, R, D, V, X ",TEST,org.optaweb.vehiclerouting.plugin.websocket.WebSocketControllerTest,subscribeToRouteTopic,14,1,13,0,Alto Acoplamento Efferent
 V ,TEST,org.optaweb.vehiclerouting.service.route.RouteListenerTest,should_discard_update_gracefully_if_one_of_location_has_been_removed,15,1,9,0,Alto Acoplamento Efferent
 X ,ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,equals,10,4,5,1,Alto Acoplamento Efferent
 V ,TEST,org.optaweb.vehiclerouting.service.distance.DistanceMatrixImplTest,should_calculate_distance_map,30,1,5,0,Metodo Longo
 V ,VIEW,org.optaweb.vehiclerouting.plugin.planner.SolverManager,assertSolverIsAlive,18,5,6,0,Muitos Desvios
" D, V ",TEST,org.optaweb.vehiclerouting.service.route.RouteListenerTest,listener_should_publish_routing_plan_when_an_update_event_occurs,32,1,16,0,Metodo Longo
 V ,TEST,org.optaweb.vehiclerouting.plugin.planner.RouteChangedEventPublisherTest,initialized_solution_should_have_one_route_per_vehicle,26,3,10,0,Metodo Longo
 V ,UNDEFINED,org.optaweb.vehiclerouting.plugin.planner.SolutionUtil,createSolution,12,2,5,3,Muitos Parametros
 V ,TEST,org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicleTest,remove_vehicle,38,1,9,0,Alto Acoplamento Efferent
" D, V ",TEST,org.optaweb.vehiclerouting.plugin.websocket.RoutePublisherImplTest,portable_routing_plan_with_two_routes,41,1,14,0,Metodo Longo
 V ,TEST,org.optaweb.vehiclerouting.plugin.planner.change.RemoveCustomerTest,remove_middle_customer,24,1,6,0,Metodo Longo
 V ,[ROUTEOPTIMIZER],org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerImpl,removeLocation,28,7,8,1,Metodo Longo
 V ,CONTROLLER,org.optaweb.vehiclerouting.plugin.websocket.WebSocketController,subscribeToServerInfoTopic,6,1,10,0,Alto Acoplamento Efferent
" A, R, D, V, X ",TEST,org.optaweb.vehiclerouting.plugin.websocket.WebSocketControllerTest,subscribeToServerInfo,21,1,15,0,Alto Acoplamento Efferent
" A, R, D, V, X ",TEST,org.optaweb.vehiclerouting.service.route.RouteListenerTest,listener_should_publish_routing_plan_when_an_update_event_occurs,32,1,16,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.optaweb.vehiclerouting.plugin.planner.SolutionUtil,addCustomer,9,1,4,3,Muitos Parametros
 V ,[ROUTEOPTIMIZER],org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerImpl,removeLocation,28,7,8,1,Muitos Desvios
" A, D, V ",TEST,org.optaweb.vehiclerouting.service.route.RouteListenerTest,event_with_no_visits_and_a_depot_should_be_published_as_plan_with_empty_routes,21,1,12,0,Alto Acoplamento Efferent
" A, D, V ",ENTITY,org.optaweb.vehiclerouting.service.demo.RoutingProblemConfig,localDataSets,22,4,12,0,Alto Acoplamento Efferent
 V ,CONTROLLER,org.optaweb.vehiclerouting.plugin.websocket.DataSetDownloadController,exportDataSet,10,1,11,0,Alto Acoplamento Efferent
" D, V ",TEST,org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest,removing_customers_should_not_fail,31,4,14,0,Metodo Longo
 X ,ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,equals,10,4,5,1,Muitos Parametros
 V ,UNDEFINED,org.optaweb.vehiclerouting.plugin.planner.RouteChangedEventPublisher,routes,21,6,10,1,Alto Acoplamento Efferent
 V ,[ROUTEOPTIMIZER],org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerImpl,addLocation,23,4,9,2,Alto Acoplamento Efferent
 V ,PERSISTENCE,org.optaweb.vehiclerouting.plugin.persistence.DistanceRepositoryImpl,saveDistance,4,1,5,3,Muitos Parametros
 V ,UNDEFINED,org.optaweb.vehiclerouting.domain.RoutingPlan,describeVehiclesRoutesInconsistency,4,1,5,3,Muitos Parametros
" A, R, D, V, X ",TEST,org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest,removing_customers_should_not_fail,31,4,14,0,Alto Acoplamento Efferent
 V ,ENTITY,org.optaweb.vehiclerouting.service.demo.RoutingProblemConfig,localDataSets,22,4,12,0,Metodo Longo
