Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,PROCESSOR,org.archive.modules.fetcher.FetchHTTP,handle401,33,6,10,2,Metodo Longo
 V ,PERSISTENCE,org.archive.io.RecordingOutputStream,record,7,2,3,3,Muitos Parametros
 V ,PROCESSOR,org.archive.crawler.postprocessor.LinksScoper,getSchedulingFor,14,7,5,3,Muitos Parametros
" A, V, X ",ABSTRACTFRONTIER,org.archive.crawler.frontier.BdbFrontier,getURIsList,9,2,8,4,Muitos Parametros
 V ,SUBELEMENT,org.archive.util.anvl.Label,checkCharacter,6,2,4,3,Muitos Parametros
 V ,PERSISTENCE,org.archive.io.ArchiveRecord,read,22,7,8,3,Metodo Longo
 V ,UNDEFINED,org.archive.io.Warc2Arc,main,40,8,13,1,Metodo Longo
 V ,PROCESSOR,org.archive.modules.extractor.ContentExtractor,shouldProcess,15,7,2,1,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorImpliedURI,extractImplied,11,3,4,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorMultipleRegex,makeBindings,11,2,6,3,Muitos Parametros
 V ,TEST,org.archive.crawler.selftest.SelfTestBase,testSomething,24,3,2,0,Metodo Longo
 V ,ARCHIVEREADER,org.archive.io.arc.ARCReader,gotoEOR,23,9,4,1,Metodo Longo
" A, V, X ",RESOURCE,org.archive.crawler.restlet.JobResource,acceptRepresentation,56,16,9,1,Metodo Longo
 V ,UNDEFINED,org.archive.crawler.restlet.Flash,addFlash,17,4,8,3,Muitos Parametros
 V ,TEST,org.archive.util.InterruptibleCharSequenceTest,tryMatchInThread,18,1,0,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorMultipleRegex,extract,37,7,15,1,Muitos Desvios
 V ,TEST,org.archive.io.arc.ARCWriterTest,lengthTooShort,31,1,12,3,Muitos Parametros
 V ,PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeRevisitDigest,23,1,9,7,Metodo Longo
 V ,PROCESSOR,org.archive.modules.fetcher.FetchWhois,start,18,3,9,0,Alto Acoplamento Efferent
" A, V, X ",ENTITY,org.archive.bdb.BdbModule,doRecover,57,15,16,0,Metodo Longo
 V ,ENTITY,org.archive.crawler.reporting.CrawlerLoggerModule,addToManifest,3,2,4,3,Muitos Parametros
 V ,UNDEFINED,org.archive.net.PublicSuffixes,main,26,5,11,1,Alto Acoplamento Efferent
 V ,QUEUEPRECEDENCEPOLICY,org.archive.crawler.frontier.precedence.HighestUriQueuePrecedencePolicy,tally,14,6,3,2,Muitos Desvios
 V ,SETBASEDURIUNIQFILTER,org.archive.crawler.util.BdbUriUniqFilter,close,39,10,6,0,Metodo Longo
 V ,REPORT,org.archive.crawler.reporting.FrontierNonemptyReport,write,19,5,3,2,Muitos Desvios
 V ,RESOURCE,org.archive.crawler.restlet.JobResource,acceptRepresentation,56,16,9,1,Alto Acoplamento Efferent
 V ,PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeWhoisRecords,23,2,8,4,Metodo Longo
 V ,PROCESSOR,org.archive.crawler.postprocessor.LowDiskPauseProcessor,checkAvailableSpace,28,6,14,1,Muitos Desvios
 V ,PROCESSOR,org.archive.crawler.prefetch.PreconditionEnforcer,considerDnsPreconditions,34,11,9,1,Metodo Longo
 V ,TEST,org.archive.io.warc.WARCWriterTest,writeBasicRecords,22,2,10,1,Metodo Longo
" A, D, V ",TEST,org.archive.io.arc.ARCWriterTest,lengthTooShort,31,1,12,3,Alto Acoplamento Efferent
 V ,TEST,org.archive.io.GZIPMembersInputStreamTest,testByteReadPerMember,35,6,3,0,Metodo Longo
 V ,PROCESSOR,org.archive.crawler.postprocessor.CandidatesProcessor,checkForSeedPromotion,9,5,2,1,Muitos Desvios
 V ,ENTITY,org.archive.util.AbstractLongFPSet,relocate,0,1,1,3,Muitos Parametros
