Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.zegoggles.smssync.mail.MmsSupport,getMMSBodyParts,Muitos Desvios,24,8,11,1,"[A, R, D, V, X]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.service.state.BackupState,getNotificationLabel,Muitos Desvios,14,4,2,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.MainActivity,onCreateDialog,Muitos Desvios,125,5,0,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.MessageConverter,getMessageMap,Muitos Desvios,21,4,7,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.auth.TokenRefresher,refreshUsingOAuth2Client,Muitos Desvios,9,3,6,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.auth.XOAuthConsumer,migrateToken,Muitos Desvios,38,6,18,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
null,null,null,9,3,2,1,null,c684da45639deb90e639deba2d4f6728b2f3a557,MOVE_OPERATION,private updateUsernameLabel(username String) : void,private updateUsernameLabel(username String) : void
com.zegoggles.smssync.activity.MainActivity,updateUsernameLabel,Muitos Desvios,9,3,2,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.BackupImapStore,compare,Muitos Desvios,5,5,4,2,"[D, V]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.service.BackupJobs,observedUris,Muitos Desvios,8,3,4,0,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity,onCreateDialog,Muitos Desvios,28,3,0,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.donation.DonationActivity,onPurchasesUpdated,Muitos Desvios,24,5,4,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.service.SmsJobService,onStartJob,Muitos Desvios,23,6,7,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity,run,Muitos Desvios,12,3,0,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.preferences.AuthPreferences,getStoreUri,Muitos Desvios,14,3,3,0,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.preferences.DataTypePreferences,isBackupEnabled,Muitos Desvios,8,3,3,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.StatusPreference,restoreStateChanged,Muitos Desvios,27,7,6,1,"[A, V, X]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.MessageGenerator,messageForDataType,Muitos Desvios,12,4,3,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.MainActivity,checkDefaultSmsApp,Muitos Desvios,5,3,2,0,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.auth.TokenRefresher,refreshUsingAccountManager,Muitos Desvios,31,7,10,2,"[A, V, X]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.receiver.BootReceiver,onReceive,Muitos Desvios,9,3,4,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.service.SmsBackupService,legacyCheckConnectivity(),Muitos Desvios,31,7,10,2,"[A, V, X]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.MainActivity,handleAccountManagerAuth,Muitos Desvios,14,4,4,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.donation.DonationActivity,onClick,Muitos Desvios,15,3,17,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.BackupImapStore,getFolder,Muitos Desvios,10,3,6,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.Attachment,createPart,Muitos Desvios,13,3,4,3,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.tasks.OAuth2CallbackTask,doInBackground,Muitos Desvios,13,5,7,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.MessageConverter,markAsSeen,Muitos Desvios,18,6,3,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.contacts.ContactGroup,equals,Muitos Desvios,8,6,3,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.activity.donation.DonationActivity,onBillingSetupFinished,Muitos Desvios,22,7,6,1,"[A, D, V, X]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.CallFormatter,mapTextCallType,Muitos Desvios,16,6,1,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.calendar.CalendarAccessorPost40,getCalendars,Muitos Desvios,23,5,8,0,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.mail.HeaderGenerator,setHeaders,Muitos Desvios,21,4,7,7,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
null,null,null,10,3,6,2,null,48792f0a3f7b0c13a39792257fbc489fb2c980bf,PULL_UP_OPERATION,"public getGroups(resolver ContentResolver, resources Resources) : Map<Integer,Group>","public getGroups(resolver ContentResolver, resources Resources) : Map<Integer,Group>"
com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroups,Muitos Desvios,10,3,6,2,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.service.RestoreTask,restore,Muitos Desvios,50,12,16,1,"[A, R, V, X]",9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.preferences.AuthPreferences,encode,Muitos Desvios,8,3,4,1,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
com.zegoggles.smssync.auth.XOAuthConsumer,characters,Muitos Desvios,5,3,3,3,[V],9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,
