Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
br.com.webbudget.domain.entities.financial.Movement,isPaidWithDebitCard,Alto Acoplamento Efferent,3,1,2,0,[X],6db522c3014b3cf041ed6be92e163c3eec5af63d,PUSH_DOWN_OPERATION,public isPaidWithDebitCard() : boolean,public isPaidWithDebitCard() : boolean,
br.com.webbudget.domain.model.entity.movement.Movement,addDeletedApportionment,Alto Acoplamento Efferent,5,2,2,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.model.entity.movement.FixedMovement,addDeletedApportionment,Muitos Parametros,5,2,2,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entities.financial.Movement,getValue,Muitos Desvios,6,3,2,0,[X],46ffe86603fa5c315fe166ccc9c1f4b599b99479,RENAME_METHOD,public getValueToDivide() : BigDecimal,public calculateRemainingTotal() : BigDecimal,
br.com.webbudget.domain.model.entity.movement.Movement,isApportionmentsValid,Alto Acoplamento Efferent,3,1,2,0,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,RENAME_METHOD,public isApportionmentsValid() : boolean,public hasValueToDivide() : boolean,
br.com.webbudget.domain.entities.registration.Card,getSecuredNumber,Metodo Longo,14,4,3,0,[X],ed034b0e7e359d50cf0a985e75e5509843d66f9b,RENAME_METHOD,public getSecuredNumber() : String,public getSecureNumber() : String,
br.com.webbudget.domain.entities.financial.PeriodMovement,isCardInvoice,Alto Acoplamento Efferent,3,1,2,0,[X],02126230d11435ce1ae49aac2bb71246f9bc906f,RENAME_METHOD,public isCardInvoice() : boolean,public isCreditCardInvoice() : boolean,
br.com.webbudget.domain.entities.financial.Movement,isEditable,Alto Acoplamento Efferent,3,1,2,0,[X],6db522c3014b3cf041ed6be92e163c3eec5af63d,PUSH_DOWN_OPERATION,public isEditable() : boolean,public isEditable() : boolean,
br.com.webbudget.domain.entity.movement.FixedMovement,createApportionmentCode,Metodo Longo,16,2,4,0,[X],9d29a8d247737852bd33c7f95362971e6d6ea96e,RENAME_METHOD,private createApportionmentCode() : String,private createFixedMovementCode() : String,
br.com.webbudget.domain.entities.journal.Refueling,totalize,Muitos Desvios,10,3,1,0,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,public totalize() : void,public totalsFuels() : void,
br.com.webbudget.domain.entities.financial.FixedMovement,isAcounted,Alto Acoplamento Efferent,3,1,2,0,[X],94b0d2f20a15cd9fe81d2163ae43bc62ea50af0c,RENAME_METHOD,package isAcounted() : boolean,public isFinished() : boolean,
br.com.webbudget.domain.entities.journal.Refueling,createMovementDescription,Alto Acoplamento Efferent,10,1,4,0,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,public createMovementDescription() : String,public getMovementDescription() : String,
br.com.webbudget.domain.model.entity.movement.Movement,removeApportionment,Metodo Longo,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entities.financial.Movement,isPaidWithCreditCard,Alto Acoplamento Efferent,3,1,2,0,[X],6db522c3014b3cf041ed6be92e163c3eec5af63d,PUSH_DOWN_OPERATION,public isPaidWithCreditCard() : boolean,public isPaidWithCreditCard() : boolean,
br.com.webbudget.domain.entities.financial.Movement,isOverdue,Alto Acoplamento Efferent,3,1,3,0,[X],6db522c3014b3cf041ed6be92e163c3eec5af63d,PUSH_DOWN_OPERATION,public isOverdue() : boolean,public isOverdue() : boolean,
br.com.webbudget.domain.entity.movement.FixedMovement,createApportionmentCode,Alto Acoplamento Efferent,16,2,4,0,[X],9d29a8d247737852bd33c7f95362971e6d6ea96e,RENAME_METHOD,private createApportionmentCode() : String,private createFixedMovementCode() : String,
br.com.webbudget.domain.entity.movement.FixedMovement,isApportionmentsValid,Alto Acoplamento Efferent,3,1,2,0,[X],22fa4c63216923955cfa358854cfb913715a1ca4,RENAME_METHOD,public isApportionmentsValid() : boolean,public hasValueToDivide() : boolean,
br.com.webbudget.domain.entities.financial.FixedMovement,isFinalized,Alto Acoplamento Efferent,3,1,2,0,[X],00a36b76abb5fea84644ecb7fa5eb2c116d4c8a2,RENAME_METHOD,package isFinalized() : boolean,package isAcounted() : boolean,
br.com.webbudget.domain.model.entity.movement.FixedMovement,addDeletedApportionment,Alto Acoplamento Efferent,5,2,2,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entity.card.CardInvoice,getTotal,Alto Acoplamento Efferent,3,1,2,0,[X],1b16b7b0d3dac25d19d423e5fc37a876b2d167b6,RENAME_METHOD,public getTotal() : BigDecimal,public calculateTotal() : BigDecimal,
br.com.webbudget.domain.entities.registration.Card,getSecuredNumber,Alto Acoplamento Efferent,14,4,3,0,[X],ed034b0e7e359d50cf0a985e75e5509843d66f9b,RENAME_METHOD,public getSecuredNumber() : String,public getSecureNumber() : String,
br.com.webbudget.domain.entities.journal.Refueling,calculateAverageComsumption,Muitos Parametros,5,3,3,2,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,public calculateAverageComsumption() : void,public calculateAverageConsumption() : void,
br.com.webbudget.domain.entities.journal.Refueling,calculateAverageComsumption,Muitos Parametros,5,3,3,2,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,"public calculateAverageComsumption(totalDistance long, liters BigDecimal) : void","public calculateAverageConsumption(totalDistance long, liters BigDecimal) : void",
br.com.webbudget.domain.model.entity.movement.Movement,removeApportionment,Alto Acoplamento Efferent,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
