Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.mitre.mpf.mvc.controller.TestAdminComponentRegistrationController,registerReturnsErrorResponseWhenAlreadyRegistered,null,5,1,3,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.data.entities.transients.Track,getStageIndex,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.interop.JsonDetectionOutputObject,getHeight,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.mst.TestSystemOnDiff,runOcvFaceThenMogFeedForwardRegionTest,null,12,1,3,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.MpfServiceImpl,deleteSystemMessage,null,7,2,3,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.AllJobsStatisticsModel,setTotalJobs,null,3,1,2,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.data.entities.persistent.StreamingJobRequest,getHealthReportCallbackUri,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.data.entities.transients.TransientStreamingJob,getExternalId,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.pipeline.xml.ProvidesCollection,getStates,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.data.entities.persistent.StreamingJobRequest,getStreamUri,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.ITComponentRegistration,assertOk,null,3,1,1,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.component.RegisterComponentModel,setJsonDescriptorPath,null,3,1,1,1,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.rest.api.JobPageListModel,getDraw,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.pipeline.xml.AlgorithmDefinition,getDescription,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.service.component.TestStartupComponentServiceStarter,doesNotAddSvcWhenNoExistingSvcModels,null,6,1,3,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.nms.ChannelNode,isConnected,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.data.entities.transients.TransientStreamingJob,getOverriddenAlgorithmProperties,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.camelOps.TestDetectionSplitter,testMediaSpecificPropertiesOverrideAlgorithmProperties,null,12,1,0,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.util.JmsUtils,createCancellationRouteName,null,3,2,4,2,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
org.mitre.mpf.wfm.camel.operations.detection.DetectionContext,getStageName,null,3,1,1,0,null,9a9061aeea57a6d96d55e2501e598d4b714a8f86,,,,
