DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
TEST,org.openmrs.propertyeditor.PrivilegeEditorTest,3,3,4,3,0,3,4,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PrivilegeEditorTest.java,class,false,45
TEST,org.openmrs.api.impl.PatientServiceImplTest,16,2,18,0,0,16,54,19,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\impl\PatientServiceImplTest.java,class,false,324
[APPLICATION],org.openmrs.hl7.handler.ORUR01Handler,35,1,74,565,0,35,238,272,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\handler\ORUR01Handler.java,class,false,1289
TEST,org.openmrs.validator.BaseAttributeTypeValidatorTest,18,3,9,0,0,18,21,18,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\BaseAttributeTypeValidatorTest.java,class,false,242
[VALIDATOR],org.openmrs.validator.ImplementationIdValidator,2,1,6,1,0,2,5,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ImplementationIdValidator.java,class,false,56
TEST,org.openmrs.BaseOpenmrsObjectTest,22,6,13,594,0,22,21,59,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\BaseOpenmrsObjectTest.java,class,false,424
SERVICE,org.openmrs.api.impl.ProgramWorkflowServiceImpl,50,2,19,0,0,50,105,131,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\ProgramWorkflowServiceImpl.java,class,false,638
TEST,org.openmrs.EncounterTypeTest,1,1,2,0,0,1,3,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\EncounterTypeTest.java,class,false,32
TEST,org.openmrs.OrderTypeTest,3,1,3,3,0,3,9,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\OrderTypeTest.java,class,false,67
ENTITY,org.openmrs.propertyeditor.UserEditor,3,3,2,3,0,3,3,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\propertyeditor\UserEditor.java,class,false,37
[VALIDATOR],org.openmrs.validator.StateConversionValidator,2,1,5,1,0,2,5,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\StateConversionValidator.java,class,false,63
TEST,org.openmrs.propertyeditor.PersonEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PersonEditorTest.java,class,false,32
OPENMRSMEMENTO,org.openmrs.scheduler.timer.TimerSchedulerMemento,7,2,1,0,0,7,3,7,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\scheduler\timer\TimerSchedulerMemento.java,class,false,54
BASEOPENMRSOBJECT,org.openmrs.Privilege,9,4,1,16,0,9,2,9,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Privilege.java,class,false,89
DATE,org.openmrs.util.AttributableDate,7,2,4,15,0,7,5,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\AttributableDate.java,class,false,116
EXCEPTION,org.openmrs.api.CannotDeleteRoleWithChildrenException,4,3,1,6,0,4,0,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\CannotDeleteRoleWithChildrenException.java,class,false,56
SERVICE,org.openmrs.api.impl.SerializationServiceImpl,7,2,9,1,0,7,16,27,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\SerializationServiceImpl.java,class,false,154
TEST,org.openmrs.validator.PatientProgramValidatorTest,22,3,12,231,0,22,47,22,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\PatientProgramValidatorTest.java,class,false,402
[INTERCEPTOR],org.openmrs.api.db.hibernate.ChainingInterceptor,19,1,7,0,0,19,27,59,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\ChainingInterceptor.java,class,false,264
TEST,org.openmrs.validator.PrivilegeValidatorTest,5,3,5,10,0,5,11,5,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\PrivilegeValidatorTest.java,class,false,121
BASEOPENMRSOBJECT,org.openmrs.person.PersonMergeLog,12,4,3,56,0,12,2,12,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\person\PersonMergeLog.java,class,false,106
TEST,org.openmrs.propertyeditor.LocationAttributeTypeEditorTest,3,4,6,3,0,3,2,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\LocationAttributeTypeEditorTest.java,class,false,38
TEST,org.openmrs.test.CreateConceptDictionaryDataSet,2,3,7,1,0,2,5,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateConceptDictionaryDataSet.java,class,false,51
TEST,org.openmrs.comparator.PatientIdentifierTypeDefaultComparatorTest,1,1,2,0,0,1,7,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\comparator\PatientIdentifierTypeDefaultComparatorTest.java,class,false,61
TEST,org.openmrs.propertyeditor.FormEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\FormEditorTest.java,class,false,32
