DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
MODEL,org.jumpmind.metl.core.model.ModelEntity,14,3,4,33,0,14,8,18,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ModelEntity.java,class,false,119
MODEL,org.jumpmind.metl.core.model.ReleasePackage,12,3,2,52,0,12,0,12,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ReleasePackage.java,class,false,71
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.AbstractRdbmsComponentRuntime,9,2,14,32,5,9,39,41,D:\Projetos\_Web\metl\comp-abstract\src\main\java\org\jumpmind\metl\core\runtime\component\AbstractRdbmsComponentRuntime.java,class,false,204
MODEL,org.jumpmind.metl.core.model.AgentParameter,2,3,1,0,0,2,0,2,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\AgentParameter.java,class,false,37
TEST,org.jumpmind.metl.core.runtime.flow.FixedLengthFormatterFlowTest,3,1,5,0,0,3,2,3,D:\Projetos\_Web\metl\metl-develop\src\test\java\org\jumpmind\metl\core\runtime\flow\FixedLengthFormatterFlowTest.java,class,false,54
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.TextFileReader,3,3,6,1,0,3,25,27,D:\Projetos\_Web\metl\comp-file\src\main\java\org\jumpmind\metl\core\runtime\component\TextFileReader.java,class,false,156
UNDEFINED,org.jumpmind.metl.core.util.ComponentUtils,7,1,5,21,0,7,13,32,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\util\ComponentUtils.java,class,false,103
MODEL,org.jumpmind.metl.core.model.Flow,48,3,9,762,0,48,40,121,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\Flow.java,class,false,418
ENTITY,org.jumpmind.metl.core.runtime.component.EntityNameLookup,2,1,4,0,0,2,10,9,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\EntityNameLookup.java,class,false,47
PANEL,org.jumpmind.metl.ui.views.manage.ManageNavigator,11,2,21,0,0,11,66,55,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\manage\ManageNavigator.java,class,false,315
ABSTRACTDIRECTORY,org.jumpmind.metl.core.runtime.resource.AbstractJMSJndiDirectory,21,2,18,164,2,21,51,85,D:\Projetos\_Web\metl\resource-core\src\main\java\org\jumpmind\metl\core\runtime\resource\AbstractJMSJndiDirectory.java,class,false,309
RESIZABLEWINDOW,org.jumpmind.metl.ui.views.design.ImportXmlTemplateWindow,11,2,28,52,0,11,67,38,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\ImportXmlTemplateWindow.java,class,false,285
[ISENDMESSAGECALLBACK],org.jumpmind.metl.core.runtime.component.SendMessageCallback,13,1,8,38,0,13,12,19,D:\Projetos\_Web\metl\metl-core\src\test\java\org\jumpmind\metl\core\runtime\component\SendMessageCallback.java,class,false,119
VIEW,org.jumpmind.metl.ui.views.design.DesignNavigator,61,2,46,77,0,61,202,276,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\DesignNavigator.java,class,false,1089
[ICOMPONENTRUNTIMEFACTORY],org.jumpmind.metl.core.runtime.component.ComponentRuntimeFactory,2,1,5,0,0,2,7,6,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\ComponentRuntimeFactory.java,class,false,52
VIEW,org.jumpmind.metl.ui.views.design.EditTempRdbmsPanel,1,3,4,0,0,1,14,2,D:\Projetos\_Web\metl\comp-temp-rdbms\src\main\java\org\jumpmind\metl\ui\views\design\EditTempRdbmsPanel.java,class,false,43
RESIZABLEWINDOW,org.jumpmind.metl.ui.views.design.TableColumnSelectWindow,6,2,15,7,0,6,36,9,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\TableColumnSelectWindow.java,class,false,149
VIEW,org.jumpmind.metl.ui.views.release.ReleasesView,19,2,31,132,0,19,100,57,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\release\ReleasesView.java,class,false,373
