DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
BASEOPENMRSOBJECT,org.openmrs.Provider,13,4,4,58,0,13,14,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Provider.java,class,false,140
[METHODBEFOREADVICE],org.openmrs.aop.RequiredDataAdvice,7,1,9,21,0,7,43,68,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\aop\RequiredDataAdvice.java,class,false,396
BASEOPENMRSOBJECT,org.openmrs.LocationTag,10,3,1,39,0,10,5,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\LocationTag.java,class,false,103
[VALIDATOR],org.openmrs.validator.ConceptSourceValidator,2,1,4,1,0,2,5,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptSourceValidator.java,class,false,67
ABSTRACTTASK,org.openmrs.scheduler.tasks.AutoCloseVisitsTask,1,2,2,0,0,1,8,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\scheduler\tasks\AutoCloseVisitsTask.java,class,false,57
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.GenerateUuid,8,1,6,20,0,8,22,21,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\GenerateUuid.java,class,false,227
EXCEPTION,org.openmrs.api.FormsLockedException,4,3,1,6,0,4,0,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\FormsLockedException.java,class,false,66
[VALIDATOR],org.openmrs.validator.ConceptDatatypeValidator,2,1,5,1,1,2,6,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptDatatypeValidator.java,class,false,67
TEST,org.openmrs.validator.ConceptValidatorTest,24,3,13,276,0,24,52,25,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ConceptValidatorTest.java,class,false,460
STEPS,org.openmrs.steps.CreateConceptDrugSteps,6,2,8,15,0,6,18,6,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\steps\CreateConceptDrugSteps.java,class,false,84
VIEW,org.openmrs.api.impl.PersonNameGlobalPropertyListener,3,1,2,3,0,3,3,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\PersonNameGlobalPropertyListener.java,class,false,42
TEST,org.openmrs.api.ProgramWorkflowServiceTest,26,3,18,279,0,26,81,49,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\ProgramWorkflowServiceTest.java,class,false,487
TEST,org.openmrs.validator.ValidateUtilTest,5,3,8,10,0,5,10,6,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ValidateUtilTest.java,class,false,86
STEPS,org.openmrs.steps.EditPatientDemographicShortFormSteps,5,2,6,10,0,5,12,5,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\steps\EditPatientDemographicShortFormSteps.java,class,false,63
TEST,org.openmrs.propertyeditor.VisitEditorTest,2,3,3,1,0,2,3,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\VisitEditorTest.java,class,false,30
BODYTAGSUPPORT,org.openmrs.web.taglib.ForEachVisitTag,15,2,4,55,0,15,20,32,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\taglib\ForEachVisitTag.java,class,false,211
JUNITSTORY,org.openmrs.stories.CreateAnEncounter,1,3,3,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\stories\CreateAnEncounter.java,class,false,34
UNDEFINED,org.openmrs.hl7.HL7Util,5,1,2,8,0,5,25,50,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\HL7Util.java,class,false,305
CONTROLLER,org.openmrs.web.controller.maintenance.GlobalPropertyController,2,2,9,1,0,2,27,15,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\controller\maintenance\GlobalPropertyController.java,class,false,157
SERVICE,org.openmrs.arden.impl.ArdenServiceImpl,5,1,10,4,0,5,62,94,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\arden\impl\ArdenServiceImpl.java,class,false,510
TEST,org.openmrs.web.taglib.OpenmrsMessageTagTest,11,4,12,0,0,11,20,11,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\taglib\OpenmrsMessageTagTest.java,class,false,205
BASEOPENMRSOBJECT,org.openmrs.PersonAddress,57,3,8,1466,0,57,38,70,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\PersonAddress.java,class,false,612
BASEOPENMRSOBJECT,org.openmrs.BaseOpenmrsMetadata,22,2,4,211,29,22,1,22,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\BaseOpenmrsMetadata.java,class,false,215
TEST,org.openmrs.api.db.SerializedObjectDAOTest,11,3,8,0,0,11,27,13,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\SerializedObjectDAOTest.java,class,false,157
BASEOPENMRSOBJECT,org.openmrs.EncounterProvider,11,3,6,47,0,11,24,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\EncounterProvider.java,class,false,123
UNDEFINED,org.openmrs.Duration,3,1,5,1,0,3,16,24,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Duration.java,class,false,123
BASEOPENMRSOBJECT,org.openmrs.notification.Note,19,3,3,151,0,19,2,19,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\notification\Note.java,class,false,145
BASEOPENMRSOBJECT,org.openmrs.Relationship,21,3,5,156,0,21,19,22,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Relationship.java,class,false,209
[COMPARISONOPERATOR],org.openmrs.logic.op.LessThan,1,1,1,0,0,1,0,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\logic\op\LessThan.java,class,false,34
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateTemplateDAO,8,1,4,0,0,8,12,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateTemplateDAO.java,class,false,81
TEST,org.openmrs.api.PatientSetServiceTest,23,3,24,0,0,23,49,25,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\PatientSetServiceTest.java,class,false,401
CONTROLLER,org.openmrs.web.controller.observation.ObsFormController,6,2,20,15,0,6,65,59,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\controller\observation\ObsFormController.java,class,false,329
UNDEFINED,org.openmrs.web.taglib.fieldgen.FieldGenHandlerFactory,5,1,2,0,0,5,3,15,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\taglib\fieldgen\FieldGenHandlerFactory.java,class,false,89
