DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[VALIDATOR],org.openmrs.validator.ConceptSourceValidator,2,1,4,1,0,2,5,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptSourceValidator.java,class,false,59
ABSTRACTTASK,org.openmrs.scheduler.tasks.AutoCloseVisitsTask,1,2,2,0,0,1,8,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\scheduler\tasks\AutoCloseVisitsTask.java,class,false,52
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.GenerateUuid,8,1,6,20,0,8,22,21,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\GenerateUuid.java,class,false,223
EXCEPTION,org.openmrs.api.FormsLockedException,4,3,1,6,0,4,0,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\FormsLockedException.java,class,false,62
[VALIDATOR],org.openmrs.validator.ConceptDatatypeValidator,2,1,5,1,0,2,6,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptDatatypeValidator.java,class,false,63
TEST,org.openmrs.validator.ConceptValidatorTest,24,3,13,276,0,24,53,25,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ConceptValidatorTest.java,class,false,469
STEPS,org.openmrs.steps.CreateConceptDrugSteps,6,2,8,15,0,6,18,6,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\steps\CreateConceptDrugSteps.java,class,false,80
VIEW,org.openmrs.api.impl.PersonNameGlobalPropertyListener,3,1,2,3,0,3,3,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\PersonNameGlobalPropertyListener.java,class,false,38
TEST,org.openmrs.api.ProgramWorkflowServiceTest,26,3,18,279,0,26,79,49,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\ProgramWorkflowServiceTest.java,class,false,482
TEST,org.openmrs.validator.ValidateUtilTest,8,3,9,28,0,8,14,11,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ValidateUtilTest.java,class,false,159
STEPS,org.openmrs.steps.EditPatientDemographicShortFormSteps,5,2,6,10,0,5,12,5,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\steps\EditPatientDemographicShortFormSteps.java,class,false,59
TEST,org.openmrs.propertyeditor.VisitEditorTest,2,3,3,1,0,2,3,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\VisitEditorTest.java,class,false,39
BODYTAGSUPPORT,org.openmrs.web.taglib.ForEachVisitTag,15,2,4,55,0,15,20,32,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\taglib\ForEachVisitTag.java,class,false,208
JUNITSTORY,org.openmrs.stories.CreateAnEncounter,1,3,3,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\release-test\src\main\java\org\openmrs\stories\CreateAnEncounter.java,class,false,30
