DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[MASSINDEXERPROGRESSMONITOR],org.jbei.ice.lib.search.IndexerProgressMonitor,9,1,3,26,0,9,4,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\search\IndexerProgressMonitor.java,class,false,70
EXCEPTION,org.jbei.ice.lib.utils.UtilityException,2,2,0,1,0,2,0,2,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\utils\UtilityException.java,class,false,20
UNDEFINED,org.jbei.ice.lib.search.SearchController,4,1,12,6,0,4,36,39,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\search\SearchController.java,class,false,167
HASENTRY,org.jbei.ice.lib.entry.sequence.PartSequence,8,2,23,0,0,8,81,42,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartSequence.java,class,false,240
ENTITY,org.jbei.ice.storage.model.ShotgunSequence,15,1,13,73,0,15,8,15,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\ShotgunSequence.java,class,true,110
UNDEFINED,org.jbei.ice.lib.account.UserSessions,6,1,5,9,0,6,22,21,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\account\UserSessions.java,class,false,114
UNDEFINED,org.jbei.ice.services.rest.ExtensionToMimeType,1,1,0,0,0,1,0,2,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\services\rest\ExtensionToMimeType.java,class,false,26
ENTITY,org.jbei.ice.storage.model.SequenceFeatureAttribute,12,1,12,56,0,12,0,12,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\SequenceFeatureAttribute.java,class,true,83
TASK,org.jbei.ice.lib.net.WebOfRegistriesTask,2,2,5,0,0,2,15,15,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\net\WebOfRegistriesTask.java,class,false,81
TASK,org.jbei.ice.lib.search.blast.RebuildBlastIndexTask,2,2,1,0,0,2,3,3,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\search\blast\RebuildBlastIndexTask.java,class,false,28
EXCEPTION,org.jbei.ice.storage.DAOException,4,2,0,6,0,4,0,4,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\DAOException.java,class,false,27
HASENTRY,org.jbei.ice.lib.entry.Entries,7,2,18,0,0,7,49,37,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\Entries.java,class,false,179
ENTITY,org.jbei.ice.storage.hibernate.filter.EntryHasFilterFactory,2,1,4,0,0,2,4,3,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\filter\EntryHasFilterFactory.java,class,false,31
TEST,org.jbei.ice.lib.experiment.ExperimentsTest,5,1,6,10,0,5,22,5,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\experiment\ExperimentsTest.java,class,false,133
TEST,org.jbei.ice.lib.account.AccountControllerTest,18,1,6,97,0,18,37,18,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\account\AccountControllerTest.java,class,false,140
ABSTRACTFORMATTER,org.jbei.ice.lib.entry.sequence.composers.formatters.GenbankFormatter,17,2,14,122,0,17,48,58,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\composers\formatters\GenbankFormatter.java,class,false,306
[COMPARATOR],org.jbei.ice.lib.entry.sequence.composers.formatters.SequenceFeatureComparator,2,1,1,1,0,2,5,16,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\composers\formatters\SequenceFeatureComparator.java,class,false,52
TEST,org.jbei.ice.storage.hibernate.dao.AuditDAOTest,4,2,8,0,0,4,18,8,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\storage\hibernate\dao\AuditDAOTest.java,class,false,119
ENTITY,org.jbei.ice.storage.model.Sequence,27,1,21,297,0,27,7,30,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Sequence.java,class,true,216
TASK,org.jbei.ice.lib.bulkupload.BulkUploadDeleteTask,2,2,5,0,0,2,12,12,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkUploadDeleteTask.java,class,false,61
TEST,org.jbei.ice.lib.net.WebPartnersTest,6,1,9,70,0,6,25,17,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\net\WebPartnersTest.java,class,false,151
TEST,org.jbei.ice.lib.access.RemoteAccessTest,3,1,13,3,0,3,19,3,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\access\RemoteAccessTest.java,class,false,59
TEST,org.jbei.ice.lib.folder.FolderControllerTest,4,1,11,0,0,4,25,4,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\folder\FolderControllerTest.java,class,false,75
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.ParameterDAO,2,2,6,1,0,2,18,7,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\ParameterDAO.java,class,false,51
MODEL,org.jbei.ice.lib.dto.entry.AttachmentInfo,10,1,1,33,0,10,0,10,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\entry\AttachmentInfo.java,class,false,53
ENTITY,org.jbei.ice.storage.model.Folder,22,1,18,187,0,22,9,28,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Folder.java,class,true,161
ENTITY,org.jbei.ice.lib.dto.common.PageParameters,12,1,1,36,0,12,0,12,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\common\PageParameters.java,class,false,76
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkUploadController,20,1,32,0,0,20,126,114,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkUploadController.java,class,false,580
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.MessageDAO,5,2,9,10,0,5,28,26,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\MessageDAO.java,class,false,146
MODEL,org.jbei.ice.lib.config.SiteSettings,10,1,1,35,0,10,0,10,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\config\SiteSettings.java,class,false,57
EMAIL,org.jbei.ice.lib.email.GMail,3,2,6,6,0,3,13,7,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\email\GMail.java,class,false,86
UNDEFINED,org.jbei.ice.lib.entry.EntriesAsCSV,11,1,18,7,0,11,57,53,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\EntriesAsCSV.java,class,false,332
MODEL,org.jbei.ice.lib.search.IndexBuildStatus,3,1,1,0,0,3,0,3,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\search\IndexBuildStatus.java,class,false,25
UNDEFINED,org.jbei.ice.lib.entry.HasEntry,2,1,4,0,5,2,11,15,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\HasEntry.java,class,false,72
TEST,org.jbei.ice.lib.dto.entry.CustomFieldsTest,8,1,9,0,0,8,41,10,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\dto\entry\CustomFieldsTest.java,class,false,204
