DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ENTITY,edu.stanford.bmir.protege.web.server.filedownload.FileDownloadParameters,8,1,4,16,0,8,9,16,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\filedownload\FileDownloadParameters.java,class,false,101
UNDEFINED,edu.stanford.bmir.protege.web.client.LoggedInUserManager,13,1,12,96,0,13,33,29,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\LoggedInUserManager.java,class,false,173
ACTION,edu.stanford.bmir.protege.web.server.metrics.GetMetricsActionHandler,3,2,9,3,0,3,4,3,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\metrics\GetMetricsActionHandler.java,class,false,35
ENTITY,edu.stanford.bmir.protege.web.shared.app.ClientApplicationProperties,6,1,4,0,0,6,5,6,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\app\ClientApplicationProperties.java,class,false,76
ABSTRACTSECTIONRENDERER,edu.stanford.bmir.protege.web.server.render.ClassDomainOfSectionRenderer,3,3,10,15,0,3,7,7,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\render\ClassDomainOfSectionRenderer.java,class,false,53
UNDEFINED,edu.stanford.bmir.protege.web.server.notes.api.NoteStoreQuery,3,1,2,0,0,3,1,3,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\notes\api\NoteStoreQuery.java,class,false,32
ACTION,edu.stanford.bmir.protege.web.server.frame.GetNamedIndividualFrameActionHandler,3,1,14,3,0,3,6,3,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\frame\GetNamedIndividualFrameActionHandler.java,class,false,47
TEST,edu.stanford.bmir.protege.web.server.crud.uuid.UUIDEntityCrudKitHandlerTestCase,7,1,22,0,0,7,30,7,D:\Projetos\_Web\webprotege\src\test\java\edu\stanford\bmir\protege\web\server\crud\uuid\UUIDEntityCrudKitHandlerTestCase.java,class,false,126
OBOTERMMETADATA,edu.stanford.bmir.protege.web.shared.obo.OBOTermDefinition,4,2,3,4,0,4,1,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\obo\OBOTermDefinition.java,class,false,36
TEST,edu.stanford.bmir.protege.web.server.mansyntax.OntologyAxiomPairOntologySwitchTestCase,2,1,10,0,0,2,14,2,D:\Projetos\_Web\webprotege\src\test\java\edu\stanford\bmir\protege\web\server\mansyntax\OntologyAxiomPairOntologySwitchTestCase.java,class,false,75
METAPROJECTMANAGER,edu.stanford.bmir.protege.web.server.LocalMetaProjectManager,20,3,28,160,0,20,63,55,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\LocalMetaProjectManager.java,class,false,234
UNDEFINED,edu.stanford.bmir.protege.web.server.owlapi.OWLAPIProjectManager,7,1,6,0,0,7,5,7,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\owlapi\OWLAPIProjectManager.java,class,false,48
ACTION,edu.stanford.bmir.protege.web.server.watches.RemoveWatchActionHandler,3,2,10,3,0,3,8,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\watches\RemoveWatchActionHandler.java,class,false,40
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.frame.PropertyValueDescriptorEditorImpl,34,2,39,319,0,34,61,56,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\frame\PropertyValueDescriptorEditorImpl.java,class,false,326
WIDGET,edu.stanford.bmir.protege.web.client.ui.portlet.propertyForm.ReferenceFieldWidget,20,4,25,312,0,20,58,54,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\portlet\propertyForm\ReferenceFieldWidget.java,class,false,373
UNDEFINED,edu.stanford.bmir.protege.web.server.util.ZipInputStreamChecker,2,1,0,1,0,2,5,2,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\util\ZipInputStreamChecker.java,class,false,36
COMPOSITE,edu.stanford.bmir.protege.web.client.ui.library.richtext.RichTextToolbarImpl,17,2,16,94,0,17,11,17,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\richtext\RichTextToolbarImpl.java,class,false,130
UNDEFINED,edu.stanford.bmir.protege.web.server.crud.IRIParser,4,1,2,6,0,4,10,13,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\crud\IRIParser.java,class,false,58
ACTION,edu.stanford.bmir.protege.web.client.dispatch.actions.CreateDataPropertiesAction,2,4,6,1,0,2,0,2,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\dispatch\actions\CreateDataPropertiesAction.java,class,false,26
EVENT,edu.stanford.bmir.protege.web.shared.event.NotePostedEvent,11,5,12,5,0,11,10,15,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\shared\event\NotePostedEvent.java,class,false,101
UNDEFINED,edu.stanford.bmir.protege.web.client.mail.ChangeEmailAddressPresenter,2,1,15,15,0,2,18,12,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\mail\ChangeEmailAddressPresenter.java,class,false,76
PORTLET,edu.stanford.bmir.protege.web.client.ui.portlet.propertyForm.PropertyFieldPortlet,16,4,11,52,0,16,39,70,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\portlet\propertyForm\PropertyFieldPortlet.java,class,false,256
UNDEFINED,edu.stanford.bmir.protege.web.client.ui.library.msgbox.InputBox,5,1,12,0,0,5,7,6,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\library\msgbox\InputBox.java,class,false,54
ENTITY,edu.stanford.bmir.protege.web.server.crud.DeleteEntityChangeListGenerator,3,1,10,1,0,3,8,3,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\crud\DeleteEntityChangeListGenerator.java,class,false,42
[ENTRYPOINT],edu.stanford.bmir.protege.web.client.Authenticate,10,1,3,33,0,10,8,12,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\Authenticate.java,class,false,128
ENTITY,edu.stanford.bmir.protege.web.client.ui.notes.NoteActionPresenter,4,1,8,0,0,4,12,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\ui\notes\NoteActionPresenter.java,class,false,39
OWLONTOLOGYCHANGEFACTORY,edu.stanford.bmir.protege.web.server.owlapi.CreateInstanceChangeFactory,2,2,9,0,0,2,8,4,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\owlapi\CreateInstanceChangeFactory.java,class,false,41
ACTION,edu.stanford.bmir.protege.web.server.notes.DeleteNoteActionHandler,3,2,10,3,0,3,6,3,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\server\notes\DeleteNoteActionHandler.java,class,false,37
TEST,edu.stanford.bmir.protege.web.shared.metrics.EntityCountMetricTestCase,6,1,11,0,0,6,12,6,D:\Projetos\_Web\webprotege\src\test\java\edu\stanford\bmir\protege\web\shared\metrics\EntityCountMetricTestCase.java,class,false,77
[HASPROJECTID| HASDISPOSE],edu.stanford.bmir.protege.web.client.project.Project,13,1,11,46,0,13,15,13,D:\Projetos\_Web\webprotege\src\main\java\edu\stanford\bmir\protege\web\client\project\Project.java,class,false,112
