DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;16.41;
ACTIVITY;132;13;10;2;3488;10.32;
ADAPTER;145;24;16;3;680;3.86;
PERSISTENCE;92;19;13;4;708;10.62;
DIALOG;121;19;13;3;1214;1.11;
ASYNCTASK;158;36;20;2;680;7.86;
ENTITY;47;11;6;2;680;6.66;
FRAGMENT;311;25;14;2;4557;31.61;
VIEW;214;47;16;3;3620;4.59;
MULTIDEXAPPLICATION;54;7;13;2;680;1.06;
GETYOUTUBEVIDEOS;45;7;6;2;680;3.76;
