DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
SERVICE,com.key.dwsurvey.service.impl.AnCheckboxManagerImpl,5,2,10,0,0,5,5,5,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\service\impl\AnCheckboxManagerImpl.java,class,true
UNDEFINED,com.key.common.utils.word.DocExportUtil,7,1,4,3,0,7,7,7,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java,class,false
PERSISTENCE,com.key.dwsurvey.dao.impl.SurveyStatsDaoImpl,4,4,6,6,0,4,4,12,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\SurveyStatsDaoImpl.java,class,true
ENTITY,com.key.dwsurvey.entity.Question,108,2,30,5554,0,108,0,108,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\entity\Question.java,class,true
ENTITY,com.key.dwsurvey.entity.SurveyAnswer,34,2,5,523,0,34,0,34,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\entity\SurveyAnswer.java,class,true
ACTION,com.key.dwsurvey.action.survey.MySurveyStyleAction,2,3,12,1,0,2,0,2,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\action\survey\MySurveyStyleAction.java,class,false
PERSISTENCE,com.key.dwsurvey.dao.impl.AnRadioDaoImpl,3,4,10,3,0,3,24,32,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\AnRadioDaoImpl.java,class,true
PERSISTENCE,com.key.dwsurvey.dao.impl.QuCheckboxDaoImpl,0,4,4,0,0,0,0,0,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\QuCheckboxDaoImpl.java,class,true
UNDEFINED,com.key.common.plugs.ipaddr.IPSeeker,30,1,6,157,0,30,54,119,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\plugs\ipaddr\IPSeeker.java,class,false
PERSISTENCE,com.key.dwsurvey.dao.impl.QuestionLogicDaoImpl,0,4,4,0,0,0,0,0,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\QuestionLogicDaoImpl.java,class,true
