DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;87;20;16;5;
BACKGROUNDPROCESS;223;35;19;2;
ENTITY;39;6;10;14;
GERENCIADORAGENDA;39;6;10;10;
PERSISTENCE;39;6;10;2;
EXCEPTION;39;6;10;2;
TRANSACAORELATORIO;197;28;27;2;
TRANSACAOMANTAB;39;6;10;2;
TRANSACAO;108;24;18;2;
ABAS;39;6;10;3;
