DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;28.32;
ACTIVITY;132;13;10;2;3488;24.01;
ADAPTER;145;24;16;3;680;9.43;
FRAGMENT;311;25;14;2;4557;18.65;
VIEW;214;47;16;3;3620;10.28;
SERVICE;123;23;17;3;1441;4.37;
