DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;25.15;
BROADCASTRECEIVER;61;14;16;3;680;1;
TEST;45;7;7;2;680;8.9;
ACTIVITY;132;13;10;2;3488;10.89;
PERSISTENCE;92;19;13;4;708;2.15;
CONTROLLER;520;148;49;12;8258;1.23;
ASYNCTASK;158;36;20;2;680;1.39;
ENTITY;47;11;6;2;680;3.62;
FRAGMENT;311;25;14;2;4557;20.09;
VIEW;214;47;16;3;3620;11.69;
MODEL;45;7;9;2;680;3.3;
FUNNEL;45;7;6;2;680;2.05;
