DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;27.39;
[SOUNDMETERRECORDABLES| DUSTSENSORRECORDABLES| LUXMETERRECORDABLES| BAROMETERRECORDABLES| SENSORRECORDABLES| COMPASSRECORDABLES| ACCELEROMETERRECORDABLES| GYROSCOPERECORDABLES| THERMOMETERRECORDABLES| SERVORECORDABLES| WAVEGENERATORRECORDABLES| OSCILLOSCOPERECORDABLES| POWERSOURCERECORDABLES| MULTIMETERRECORDABLES| LOGICANALYZERRECORDABLES| GASSENSORRECORDABLES];45;7;6;2;680;1.14;
ACTIVITY;132;13;10;2;3488;35.18;
ADAPTER;145;24;16;3;680;2.15;
ENTITY;47;11;6;2;680;2.71;
FRAGMENT;311;25;14;2;4557;29.57;
VIEW;214;47;16;3;3620;1.34;
