DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;28.46;
BROADCASTRECEIVER;61;14;16;3;680;1.15;
CIPHERSPI;69;18;17;4;680;1.41;
ABSTRACTMAP;45;7;6;2;680;1.69;
ACTIVITY;132;13;10;2;3488;6.24;
BTCONNECTION;45;7;6;2;680;1.07;
USERAUTH;131;33;11;2;680;1.05;
PERSISTENCE;92;19;13;4;708;9.76;
ASN1ENCODABLE;45;7;6;2;680;3.83;
ASYNCTASK;158;36;20;2;680;4.99;
ENTITY;47;11;6;2;680;3.04;
GENERALDIGEST;78;7;6;2;680;1.44;
FRAGMENT;311;25;14;2;4557;2.81;
CHANNEL;136;27;14;4;680;5.95;
VIEW;214;47;16;3;3620;6.69;
KEYEXCHANGE;116;9;15;2;680;1.25;
DICTIONARY;45;12;8;5;680;1.44;
KEYBOARD;52;11;9;4;754;1.13;
SERVICE;123;23;17;3;1441;3.88;
KEYPAIR;118;31;7;2;680;1.02;
