DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;7.41;
BROADCASTRECEIVER;61;14;16;3;680;1.29;
DASHCLOCKEXTENSION;45;12;10;2;680;1.38;
TEST;45;7;7;2;680;9.88;
ACTIVITY;132;13;10;2;3488;6;
ADAPTER;145;24;16;3;680;11.1;
PERSISTENCE;92;19;13;4;708;7.92;
ENTITY;47;11;6;2;680;8.16;
FRAGMENT;311;25;14;2;4557;12.21;
VIEW;214;47;16;3;3620;14.14;
PROPERTYHANDLER;45;8;7;5;680;1.64;
ABSTRACTGROUPINGFACTORY;54;17;15;2;680;5.32;
MODEL;45;7;9;2;680;2.82;
SERVICE;123;23;17;3;1441;1.65;
ABSTRACTCUSTOMCURSORFACTORY;45;7;6;3;680;1.03;
