Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
931ac21b038b7e082fede0436616a77975bd5150,Change Parameter Type,CHANGE_PARAMETER_TYPE,event : ConnectEvent,event : AccountConnectedEvent,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.MainActivity]
931ac21b038b7e082fede0436616a77975bd5150,Extract Method,EXTRACT_OPERATION,public onCreateDialog(savedInstanceState Bundle) : Dialog,private getNames(accounts Account[]) : String[],[com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity.AccountDialogs],[com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity.AccountDialogs]
931ac21b038b7e082fede0436616a77975bd5150,Move Attribute,MOVE_ATTRIBUTE,private REQUEST_WEB_AUTH : int,package REQUEST_WEB_AUTH : int,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.Dialogs.Connect]
14737013324144ec402332870fd610c50740a8cf,Rename Attribute,RENAME_ATTRIBUTE,ACTION_FALLBACKAUTH : String,ACTION_FALLBACK_AUTH : String,[com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity],[com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity]
4f835e45e40d3c6445a5d0f02131b405086b8f37,Rename Method,RENAME_METHOD,public onStart() : void,public onResume() : void,[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Restore],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Restore]
4f835e45e40d3c6445a5d0f02131b405086b8f37,Rename Method,RENAME_METHOD,public onStart() : void,public onResume() : void,[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Server],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Server]
4f835e45e40d3c6445a5d0f02131b405086b8f37,Move Method,MOVE_OPERATION,private initGroups() : void,private initGroups() : void,[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup.CallLog],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c256f6c3232bda59490de2960db67cb3c7f02791,Inline Method,INLINE_OPERATION,"private createFragment(fragment Fragment, rootKey String) : void","public onPreferenceStartFragment(caller PreferenceFragmentCompat, preference Preference) : boolean",[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.MainActivity]
a6d48789088d1b19e4b4651ac237cd2e8b5b8813,Rename Parameter,RENAME_PARAMETER,pref : Preference,preference : Preference,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.MainActivity]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Class,MOVE_CLASS,com.zegoggles.smssync.activity.AutoBackupSettingsChangedEvent,com.zegoggles.smssync.activity.events.AutoBackupSettingsChangedEvent,[com.zegoggles.smssync.activity.AutoBackupSettingsChangedEvent],[com.zegoggles.smssync.activity.events.AutoBackupSettingsChangedEvent]
c684da45639deb90e639deba2d4f6728b2f3a557,Inline Method,INLINE_OPERATION,private setPreferenceListeners() : void,public onCreate(bundle Bundle) : void,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.MainActivity]
c684da45639deb90e639deba2d4f6728b2f3a557,Extract Class,EXTRACT_CLASS,com.zegoggles.smssync.activity.MainActivity,com.zegoggles.smssync.activity.fragments.AdvancedSettings,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings]
c684da45639deb90e639deba2d4f6728b2f3a557,Extract Class,EXTRACT_CLASS,com.zegoggles.smssync.activity.MainActivity,com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup]
c684da45639deb90e639deba2d4f6728b2f3a557,Extract Class,EXTRACT_CLASS,com.zegoggles.smssync.activity.MainActivity,com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup.CallLog,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Backup.CallLog]
c684da45639deb90e639deba2d4f6728b2f3a557,Extract Class,EXTRACT_CLASS,com.zegoggles.smssync.activity.MainActivity,com.zegoggles.smssync.activity.fragments.AdvancedSettings.Server,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings.Server]
c684da45639deb90e639deba2d4f6728b2f3a557,Extract Class,EXTRACT_CLASS,com.zegoggles.smssync.activity.MainActivity,com.zegoggles.smssync.activity.fragments.MainSettings,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.MainSettings]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Attribute,MOVE_ATTRIBUTE,private handler : Handler,private handler : Handler,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.SMSBackupPreferenceFragment]
c684da45639deb90e639deba2d4f6728b2f3a557,Move Method,MOVE_OPERATION,"private updateMaxItems(prefKey String, currentValue int, newValue String) : void","package updateMaxItems(prefKey String, currentValue int, newValue String) : void",[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.fragments.AdvancedSettings]
