Commmit-name,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class After,Class Before,Short Message,Full Message
f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupTaskTest],[com.zegoggles.smssync.service.BackupTaskTest]
f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.service.BackupTaskTest],[com.zegoggles.smssync.service.BackupTaskTest]
f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Move Method,MOVE_OPERATION,[com.zegoggles.smssync.auth.TokenRefresher],[com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity]
f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Move Method,MOVE_OPERATION,[com.zegoggles.smssync.auth.TokenRefresher],[com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity]
947d80faa4a2b2f5652d39aec0e01a9e403641f5,Extract Class,EXTRACT_CLASS,[com.zegoggles.smssync.service.BulkFetcherTest],[com.zegoggles.smssync.service.BackupCursorsTest]
947d80faa4a2b2f5652d39aec0e01a9e403641f5,Move Method,MOVE_OPERATION,[com.zegoggles.smssync.service.BulkFetcherTest],[com.zegoggles.smssync.service.BackupCursorsTest]
947d80faa4a2b2f5652d39aec0e01a9e403641f5,Move Method,MOVE_OPERATION,[com.zegoggles.smssync.service.BulkFetcherTest],[com.zegoggles.smssync.service.BackupCursorsTest]
947d80faa4a2b2f5652d39aec0e01a9e403641f5,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.service.BulkFetcher],[com.zegoggles.smssync.service.BackupCursors]
947d80faa4a2b2f5652d39aec0e01a9e403641f5,Move Method,MOVE_OPERATION,[com.zegoggles.smssync.service.BulkFetcher],[com.zegoggles.smssync.service.BackupCursors]
cea86460f9b9711fd041f58bf00fa12a9d0252b0,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,[com.zegoggles.smssync.service.BackupConfig],[com.zegoggles.smssync.service.BackupConfig]
cea86460f9b9711fd041f58bf00fa12a9d0252b0,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupConfig],[com.zegoggles.smssync.service.BackupConfig]
cea86460f9b9711fd041f58bf00fa12a9d0252b0,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.service.BackupConfig],[com.zegoggles.smssync.service.BackupConfig]
cea86460f9b9711fd041f58bf00fa12a9d0252b0,Rename Attribute,RENAME_ATTRIBUTE,[com.zegoggles.smssync.service.BackupConfig],[com.zegoggles.smssync.service.BackupConfig]
cea86460f9b9711fd041f58bf00fa12a9d0252b0,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.BackupCursors],[com.zegoggles.smssync.service.BackupCursors]
