DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;35;7;9;2;118;35.98;
LOGQUERYSUPPORT;38;11;9;1;75;3.32;
ABSTRACTMOJO;52;11;5;1;139;6.84;
VIEW;42;6;13;2;80;1.67;
SERVICE;15;5;7;1;75;1.34;
BEAN;30;8;9;2;178;16.15;
TEST;21;2;6;1;111;12.1;
[LOGINMODULE];24;3;12;1;158;1.14;
[FILTER];36;11;13;2;85;2.54;
HTTPSERVLET;44;10;15;2;132;7.3;
ENTITY;15;2;5;1;75;4.25;
HTTPHEADERFILTER;17;5;5;1;75;1.35;
