DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;51;8;11;3;481;14.36;
[SEMANTICMAPPINGREGISTRY];21;6;8;2;234;1.29;
SERVICE;44;8;12;4;482;11.08;
BEAN;50;11;13;2;234;2.03;
TAGSUPPORT;33;7;12;2;234;3.52;
TEST;44;3;9;2;758;39.43;
CONTROLLER;33;7;10;3;358;2.66;
[LOCALIZATION];20;4;6;2;234;1.24;
MODEL;25;6;7;2;346;5.87;
