DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
[ISUMEXPENSESRECALCULATOR],org.libreplan.business.orders.entities.SumExpensesRecalculator,2,1,7,8,0,2,10,9,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\SumExpensesRecalculator.java,class,false
TEST,org.libreplan.business.test.resources.daos.CriterionDAOTest,21,1,17,353,0,21,39,37,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\resources\daos\CriterionDAOTest.java,class,false
[IEDITTASKUTILITIES],org.libreplan.web.planner.order.EditTaskUtilities,5,1,15,10,0,5,24,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\order\EditTaskUtilities.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.reports.WorkingProgressPerTaskController,19,3,13,0,0,19,29,31,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\WorkingProgressPerTaskController.java,class,false
SERVICE,org.libreplan.ws.typeofworkhours.impl.TypeOfWorkHoursServiceREST,7,2,19,21,0,7,6,7,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\typeofworkhours\impl\TypeOfWorkHoursServiceREST.java,class,true
UNDEFINED,org.libreplan.business.test.qualityforms.daos.AbstractQualityFormTest,2,1,4,1,2,2,4,2,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\qualityforms\daos\AbstractQualityFormTest.java,class,false
ENTITY,org.libreplan.business.orders.entities.TaskSource,50,2,26,921,0,50,43,64,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\TaskSource.java,class,false
UNDEFINED,org.libreplan.ws.common.api.AdvanceMeasurementDTO,2,1,0,1,0,2,0,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\AdvanceMeasurementDTO.java,class,false
UNDEFINED,org.libreplan.business.common.VersionInformation,10,1,2,25,0,10,14,19,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\VersionInformation.java,class,false
UNDEFINED,org.libreplan.business.planner.limiting.entities.LimitingResourceAllocator,22,1,22,221,0,22,70,71,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\limiting\entities\LimitingResourceAllocator.java,class,false
TEST,org.libreplan.business.test.workreports.daos.WorkReportDAOTest,4,2,8,0,0,4,11,4,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\workreports\daos\WorkReportDAOTest.java,class,false
ENTITY,org.libreplan.business.workreports.entities.WorkReport,48,3,22,602,0,48,92,135,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\workreports\entities\WorkReport.java,class,false
TEST,org.libreplan.importers.JiraOrderElementSynchronizerTest,11,1,21,61,0,11,47,17,D:\Projetos\_Web\libreplan\libreplan-webapp\src\test\java\org\libreplan\importers\JiraOrderElementSynchronizerTest.java,class,false
TEST,org.libreplan.web.planner.chart.ChartFillerTest,9,1,37,21,0,9,64,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\test\java\org\libreplan\web\planner\chart\ChartFillerTest.java,class,false
ENTITY,org.libreplan.business.common.entities.ConfigurationRolesLDAP,4,1,1,2,0,4,0,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\entities\ConfigurationRolesLDAP.java,class,false
ENTITY,org.libreplan.importers.tim.FilterDTO,8,1,4,20,0,8,0,8,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\importers\tim\FilterDTO.java,class,false
PERSISTENCE,org.libreplan.business.planner.daos.DependencyDAO,1,2,7,0,0,1,8,2,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\daos\DependencyDAO.java,class,true
SERVICE,org.libreplan.ws.boundusers.impl.BoundUserServiceREST,3,1,27,4,0,3,19,9,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\boundusers\impl\BoundUserServiceREST.java,class,true
TEST,org.libreplan.business.test.externalcompanies.daos.CustomerCommunicationDAOTest,8,1,12,14,0,8,26,9,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\externalcompanies\daos\CustomerCommunicationDAOTest.java,class,false
UNDEFINED,org.libreplan.web.planner.tabs.OrdersTabCreator,7,1,13,30,0,7,34,23,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\tabs\OrdersTabCreator.java,class,false
PERSISTENCE,org.libreplan.business.orders.daos.HoursGroupDAO,7,3,9,21,0,7,20,15,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\daos\HoursGroupDAO.java,class,true
ENTITY,org.libreplan.business.orders.entities.OrderLineGroup,79,4,29,2841,0,79,204,266,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\OrderLineGroup.java,class,false
[TYPECONVERTER],org.libreplan.web.common.typeconverters.DateConverter,2,1,3,1,0,2,1,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\typeconverters\DateConverter.java,class,false
SERVICE,org.libreplan.web.costcategories.CostCategoryModel,18,2,17,31,0,18,34,25,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\costcategories\CostCategoryModel.java,class,true
DIV,org.zkoss.ganttz.TaskComponent,47,2,26,632,1,47,131,136,D:\Projetos\_Web\libreplan\ganttzk\src\main\java\org\zkoss\ganttz\TaskComponent.java,class,false
UNDEFINED,org.libreplan.business.reports.dtos.HoursWorkedPerWorkerInAMonthDTO,8,1,3,14,0,8,4,8,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\HoursWorkedPerWorkerInAMonthDTO.java,class,false
SERVICE,org.libreplan.web.reports.HoursWorkedPerWorkerModel,23,1,18,189,0,23,42,52,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\HoursWorkedPerWorkerModel.java,class,true
UNDEFINED,org.libreplan.web.common.entrypoints.EntryPointsHandler,24,1,14,186,0,24,77,59,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\entrypoints\EntryPointsHandler.java,class,false
SERVICE,org.libreplan.web.materials.MaterialsModel,29,2,20,340,0,29,72,69,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\materials\MaterialsModel.java,class,true
GENERICFORWARDCOMPOSER,org.libreplan.web.planner.order.SubcontractController,31,2,30,275,0,31,59,46,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\order\SubcontractController.java,class,false
UNDEFINED,org.libreplan.web.common.InvalidInputsChecker,3,1,2,3,0,3,4,12,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\InvalidInputsChecker.java,class,false
UNDEFINED,org.libreplan.ws.calendars.impl.CalendarConverter,14,1,16,105,0,14,59,75,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\calendars\impl\CalendarConverter.java,class,false
EXCEPTION,org.libreplan.ws.common.impl.InstanceNotFoundExceptionMapper,1,1,6,0,0,1,6,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\impl\InstanceNotFoundExceptionMapper.java,class,false
TEST,org.libreplan.business.test.resources.entities.CriterionTest,10,1,8,78,0,10,21,13,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\resources\entities\CriterionTest.java,class,false
ENTITY,org.libreplan.ws.calendars.api.BaseCalendarDTO,4,2,3,4,1,4,1,4,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\calendars\api\BaseCalendarDTO.java,class,false
ENTITY,org.libreplan.business.planner.entities.TaskMilestone,29,3,21,488,0,29,31,38,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\TaskMilestone.java,class,false
ENTITY,org.libreplan.business.qualityforms.entities.QualityForm,38,2,12,337,0,38,48,101,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\qualityforms\entities\QualityForm.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.files.OrderFilesController,11,2,22,29,0,11,57,42,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\files\OrderFilesController.java,class,false
UNDEFINED,org.libreplan.ws.typeofworkhours.api.TypeOfWorkHoursListDTO,2,1,1,1,0,2,0,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\typeofworkhours\api\TypeOfWorkHoursListDTO.java,class,false
TEST,org.libreplan.importers.TimSoapClientTest,9,1,21,6,0,9,56,17,D:\Projetos\_Web\libreplan\libreplan-webapp\src\test\java\org\libreplan\importers\TimSoapClientTest.java,class,false
ENTITY,org.libreplan.web.scenarios.ScenarioTreeRoot,3,1,1,0,0,3,2,6,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\scenarios\ScenarioTreeRoot.java,class,false
[ICONVERTER],org.libreplan.web.common.converters.ResourceConverter,4,1,7,6,0,4,5,5,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\converters\ResourceConverter.java,class,false
CHARTFILLER,org.libreplan.web.planner.chart.LoadChartFiller,3,2,9,3,1,3,12,8,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\chart\LoadChartFiller.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.common.MessagesForUser,19,2,23,143,0,19,37,32,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\MessagesForUser.java,class,false
ENTITY,org.libreplan.business.planner.entities.GenericResourceAllocation,42,3,30,709,0,42,66,65,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\GenericResourceAllocation.java,class,false
SERVICE,org.libreplan.web.reports.SchedulingProgressPerOrderModel,20,1,26,172,0,20,56,45,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\SchedulingProgressPerOrderModel.java,class,true
UNDEFINED,org.libreplan.web.planner.consolidations.AdvanceConsolidationDTO,26,1,5,235,0,26,31,65,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\consolidations\AdvanceConsolidationDTO.java,class,false
[ICONNECTORBOOTSTRAP],org.libreplan.business.common.entities.ConnectorBootstrap,1,1,7,0,0,1,7,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\entities\ConnectorBootstrap.java,class,false
UNDEFINED,org.zkoss.ganttz.data.resourceload.LoadPeriod,9,1,4,21,0,9,8,14,D:\Projetos\_Web\libreplan\ganttzk\src\main\java\org\zkoss\ganttz\data\resourceload\LoadPeriod.java,class,false
PERSISTENCE,org.libreplan.business.externalcompanies.daos.CustomerCommunicationDAO,2,2,6,1,0,2,6,2,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\externalcompanies\daos\CustomerCommunicationDAO.java,class,true
TASKELEMENTVISITOR,org.libreplan.business.planner.entities.visitors.AccumulateTasksStatusVisitor,4,2,4,0,0,4,9,6,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\visitors\AccumulateTasksStatusVisitor.java,class,false
ENTITY,org.libreplan.ws.resources.api.CalendarAvailabilityDTO,4,2,1,4,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\resources\api\CalendarAvailabilityDTO.java,class,false
[IDATABOOTSTRAP],org.libreplan.business.advance.bootstrap.DefaultAdvanceTypesBootstrapListener,1,1,7,0,0,1,5,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\bootstrap\DefaultAdvanceTypesBootstrapListener.java,class,false
ENTITY,org.libreplan.business.common.entities.LDAPConfiguration,33,2,3,420,0,33,13,41,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\entities\LDAPConfiguration.java,class,false
UNDEFINED,org.libreplan.ws.common.api.ErrorDTO,2,1,0,1,0,2,0,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\ErrorDTO.java,class,false
[IAUTOUPDATEDSNAPSHOT],org.libreplan.business.hibernate.notification.NotBlockingAutoUpdatedSnapshot,27,1,9,234,0,27,26,47,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\hibernate\notification\NotBlockingAutoUpdatedSnapshot.java,class,false
UNDEFINED,org.libreplan.business.reports.dtos.WorkingArrangementsPerOrderDTO,26,1,15,217,0,26,40,51,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\WorkingArrangementsPerOrderDTO.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.calendars.BaseCalendarEditionController,115,2,68,4501,0,115,243,266,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\calendars\BaseCalendarEditionController.java,class,false
UNDEFINED,org.libreplan.ws.orders.api.OrderListDTO,2,1,1,1,0,2,0,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\orders\api\OrderListDTO.java,class,false
UNDEFINED,org.libreplan.business.reports.dtos.SchedulingProgressPerOrderDTO,25,1,15,224,0,25,34,51,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\SchedulingProgressPerOrderDTO.java,class,false
SERVICE,org.libreplan.business.resources.daos.ResourceLoadRatiosCalculator,11,1,18,33,0,11,28,23,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\resources\daos\ResourceLoadRatiosCalculator.java,class,true
UNDEFINED,org.libreplan.ws.boundusers.impl.TaskConverter,3,1,7,3,0,3,15,6,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\boundusers\impl\TaskConverter.java,class,false
BANDBOXFINDER,org.libreplan.web.common.components.finders.TemplateFinder,10,2,7,43,2,10,14,11,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\common\components\finders\TemplateFinder.java,class,false
UNDEFINED,org.libreplan.ws.common.api.InstanceConstraintViolationsDTO,9,1,5,0,0,9,8,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\InstanceConstraintViolationsDTO.java,class,false
