DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.NoOp,3,2,3,3,0,3,1,3,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\NoOp.java,class,false,44
UNDEFINED,org.jumpmind.metl.core.runtime.component.ComponentTypeIdConstants,1,1,0,0,0,1,0,1,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\ComponentTypeIdConstants.java,class,false,30
ABSTRACTSELECTEDVALUEMENUMANAGER,org.jumpmind.metl.ui.views.design.menu.ProjectDependencyMenuManager,4,3,2,6,0,4,2,8,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\menu\ProjectDependencyMenuManager.java,class,false,75
UNDEFINED,org.jumpmind.metl.core.util.LogUtils,10,1,3,33,0,10,39,34,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\util\LogUtils.java,class,false,169
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.AbstractFileWriter,3,2,4,0,2,3,13,11,D:\Projetos\_Web\metl\comp-file\src\main\java\org\jumpmind\metl\core\runtime\component\AbstractFileWriter.java,class,false,79
VIEW,org.jumpmind.metl.ui.views.design.AbstractComponentEditPanel,5,2,6,10,19,5,5,5,D:\Projetos\_Web\metl\comp-abstract\src\main\java\org\jumpmind\metl\ui\views\design\AbstractComponentEditPanel.java,class,false,69
MODEL,org.jumpmind.metl.core.model.ModelEntity,16,3,5,48,0,16,11,26,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ModelEntity.java,class,false,125
MODEL,org.jumpmind.metl.core.model.AgentParameter,2,3,1,0,0,2,0,2,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\AgentParameter.java,class,false,37
TEST,org.jumpmind.metl.core.runtime.flow.FixedLengthFormatterFlowTest,3,1,5,0,0,3,2,3,D:\Projetos\_Web\metl\metl-develop\src\test\java\org\jumpmind\metl\core\runtime\flow\FixedLengthFormatterFlowTest.java,class,false,54
MODEL,org.jumpmind.metl.core.model.ModelRelation,6,3,3,5,0,6,0,6,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ModelRelation.java,class,false,63
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.TextFileReader,3,3,7,1,0,3,28,29,D:\Projetos\_Web\metl\comp-file\src\main\java\org\jumpmind\metl\core\runtime\component\TextFileReader.java,class,false,162
UNDEFINED,org.jumpmind.metl.core.util.ComponentUtils,7,1,7,21,0,7,14,32,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\util\ComponentUtils.java,class,false,106
