DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ITEMTABLEFORMATTER,org.bonitasoft.web.toolkit.client.ui.component.table.formatter.DefaultItemTableCellFormatter,16,3,8,120,2,16,36,32,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\table\formatter\DefaultItemTableCellFormatter.java,class,false
SERVERRESOURCE,org.bonitasoft.web.rest.server.api.bpm.flownode.ActivityVariableResource,3,3,5,1,0,3,4,4,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\flownode\ActivityVariableResource.java,class,false
SERVERRESOURCE,org.bonitasoft.web.rest.server.api.bpm.process.ProcessContractResource,3,3,8,1,0,3,5,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\process\ProcessContractResource.java,class,false
ENTITY,org.bonitasoft.web.rest.server.datastore.utils.NotSerializableObject,2,1,0,0,0,2,0,2,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\datastore\utils\NotSerializableObject.java,class,false
TEST,org.bonitasoft.web.rest.server.api.organization.APICustomUserInfoValueTest,7,1,23,0,0,7,38,8,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\api\organization\APICustomUserInfoValueTest.java,class,false
TEST,org.bonitasoft.test.toolkit.api.json.SetProcessDisplayName,5,2,1,6,0,5,3,5,D:\Projetos\_Web\bonita-web\test-toolkit\src\main\java\org\bonitasoft\test\toolkit\api\json\SetProcessDisplayName.java,class,false
UNDEFINED,org.bonitasoft.web.toolkit.client.data.api.request.ApiSearchResultPager,6,1,1,9,0,6,4,8,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\data\api\request\ApiSearchResultPager.java,class,false
ENTITY,org.bonitasoft.forms.client.view.common.BonitaUrlContext,10,1,1,15,0,10,10,11,D:\Projetos\_Web\bonita-web\forms\forms-view\src\main\java\org\bonitasoft\forms\client\view\common\BonitaUrlContext.java,class,false
EXCEPTION,org.bonitasoft.web.toolkit.client.data.item.attribute.ValidationException,3,3,2,0,0,3,4,4,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\ValidationException.java,class,false
TEST,org.bonitasoft.web.rest.server.datastore.applicationmenu.ApplicationMenuSearchDescriptorConverterTest,6,1,2,0,0,6,3,6,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\datastore\applicationmenu\ApplicationMenuSearchDescriptorConverterTest.java,class,false
HTTPSERVLET,org.bonitasoft.web.toolkit.server.servlet.ServiceServlet,2,3,6,0,0,2,0,2,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\toolkit\server\servlet\ServiceServlet.java,class,false
UNDEFINED,org.bonitasoft.web.rest.server.datastore.organization.UserCreatorConverter,1,1,6,0,0,1,21,7,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\organization\UserCreatorConverter.java,class,false
UNDEFINED,org.bonitasoft.web.rest.server.APITestWithMock,3,1,2,3,38,3,5,3,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\APITestWithMock.java,class,false
[WEBBONITACONSTANTS],org.bonitasoft.console.common.server.preferences.constants.WebBonitaConstantsTenancyImpl,9,1,1,32,0,9,2,23,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\console\common\server\preferences\constants\WebBonitaConstantsTenancyImpl.java,class,false
API,org.bonitasoft.web.rest.server.api.bpm.flownode.APIHumanTask,0,7,2,0,0,0,0,0,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\flownode\APIHumanTask.java,class,false
UPLOADFILTER,org.bonitasoft.web.toolkit.client.ui.component.form.entry.XmlUploadFilter,1,2,1,0,0,1,0,1,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\form\entry\XmlUploadFilter.java,class,false
TEST,org.bonitasoft.web.rest.server.engineclient.ProfileEntryEngineClientTest,5,2,8,0,0,5,10,5,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\engineclient\ProfileEntryEngineClientTest.java,class,false
UNDEFINED,org.bonitasoft.test.toolkit.bpm.process.TestActorMemberFactory,4,1,5,6,0,4,11,4,D:\Projetos\_Web\bonita-web\test-toolkit\src\main\java\org\bonitasoft\test\toolkit\bpm\process\TestActorMemberFactory.java,class,false
CALLABLE,org.bonitasoft.console.client.user.process.view.ProcessListingPage,9,6,10,28,0,9,14,10,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\user\process\view\ProcessListingPage.java,class,false
ITEM,org.bonitasoft.web.rest.model.bpm.process.ProcessParameterItem,9,2,5,12,0,9,2,9,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\bpm\process\ProcessParameterItem.java,class,false
WIDGET,org.bonitasoft.console.client.common.component.section.WarningCell,1,6,2,0,0,1,3,1,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\common\component\section\WarningCell.java,class,false
CALLABLE,org.bonitasoft.console.client.admin.organization.users.view.UserQuickDetailsPage,10,7,12,43,0,10,32,11,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\admin\organization\users\view\UserQuickDetailsPage.java,class,false
PERSISTENCE,org.bonitasoft.web.rest.server.datastore.bpm.cases.ArchivedCaseDocumentFilterCreator,1,2,2,0,0,1,0,1,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\bpm\cases\ArchivedCaseDocumentFilterCreator.java,class,false
EXCEPTION,org.bonitasoft.web.rest.server.framework.exception.ForbiddenAttributesException,5,7,1,10,0,5,4,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\framework\exception\ForbiddenAttributesException.java,class,false
CALLABLE,org.bonitasoft.console.client.admin.process.view.section.entitymapping.action.ShowAddGroupToActorPageAction,2,3,3,0,0,2,2,2,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\admin\process\view\section\entitymapping\action\ShowAddGroupToActorPageAction.java,class,false
VALIDATOR,org.bonitasoft.web.toolkit.client.data.item.attribute.validator.StringSingleLineValidator,1,4,1,0,0,1,3,3,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\validator\StringSingleLineValidator.java,class,false
ITEMTABLEFORMATTER,org.bonitasoft.web.toolkit.client.ui.component.table.formatter.DefaultImageCellFormatter,1,4,1,0,0,1,0,1,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\table\formatter\DefaultImageCellFormatter.java,class,false
ABSTRACTAUTHORIZATIONFILTER,org.bonitasoft.console.common.server.login.filter.RestAPIAuthorizationFilter,27,2,16,343,0,27,76,93,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\login\filter\RestAPIAuthorizationFilter.java,class,false
TEST,org.bonitasoft.web.rest.server.datastore.filter.GenericFilterCreatorTest,3,1,6,21,0,3,9,7,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\datastore\filter\GenericFilterCreatorTest.java,class,false
ITEMDEFINITION,org.bonitasoft.web.rest.model.identity.ProfessionalContactDataDefinition,4,3,3,6,0,4,1,4,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\identity\ProfessionalContactDataDefinition.java,class,false
[ATTRIBUTECONVERTER],org.bonitasoft.web.rest.server.datastore.bpm.cases.CaseDocumentSearchAttributeConverter,5,1,2,0,0,5,5,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\bpm\cases\CaseDocumentSearchAttributeConverter.java,class,false
VALIDATOR,org.bonitasoft.web.toolkit.client.data.item.attribute.validator.NumericMoreThanOrEqualValidator,2,6,1,1,0,2,3,4,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\validator\NumericMoreThanOrEqualValidator.java,class,false
JSONSERIALIZER,org.bonitasoft.web.rest.server.utils.DataInstanceSerializer,2,2,6,1,0,2,13,2,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\utils\DataInstanceSerializer.java,class,false
UNDEFINED,org.bonitasoft.console.common.server.preferences.properties.ConsoleProperties,6,1,0,13,0,6,8,8,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\console\common\server\preferences\properties\ConsoleProperties.java,class,false
API,org.bonitasoft.web.rest.server.api.bpm.process.APIDelegation,9,3,9,16,0,9,20,22,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\process\APIDelegation.java,class,false
ITEMDEFINITION,org.bonitasoft.web.rest.model.bpm.process.ProcessDefinition,6,2,5,11,0,6,5,6,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\bpm\process\ProcessDefinition.java,class,false
PERSISTENCE,org.bonitasoft.web.rest.server.datastore.profile.entry.ProfileEntryItemConverter,1,2,5,0,0,1,20,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\profile\entry\ProfileEntryItemConverter.java,class,false
CALLABLE,org.bonitasoft.console.client.admin.organization.role.UpdateRolePage,8,5,10,20,0,8,15,9,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\admin\organization\role\UpdateRolePage.java,class,false
API,org.bonitasoft.web.rest.server.api.bpm.connector.APIConnectorInstance,3,3,8,3,0,3,3,3,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\connector\APIConnectorInstance.java,class,false
UNDEFINED,org.bonitasoft.web.rest.server.WaitUntil,5,1,0,2,0,5,5,11,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\WaitUntil.java,class,false
UNDEFINED,org.bonitasoft.web.toolkit.client.common.UrlBuilder,11,1,1,17,0,11,20,37,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\common\UrlBuilder.java,class,false
VALIDATOR,org.bonitasoft.web.toolkit.client.data.item.attribute.validator.StringFormatURLValidator,2,5,1,1,0,2,1,2,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\validator\StringFormatURLValidator.java,class,false
ITEMDEFINITION,org.bonitasoft.web.rest.model.portal.page.PageDefinition,6,2,4,13,0,6,4,6,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\portal\page\PageDefinition.java,class,false
UNDEFINED,org.bonitasoft.web.toolkit.client.data.item.attribute.ModifiersList,7,1,2,0,0,7,9,8,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\ModifiersList.java,class,false
[FILTER],org.bonitasoft.console.common.server.login.filter.TokenGeneratorFilter,3,1,13,3,0,3,7,3,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\login\filter\TokenGeneratorFilter.java,class,false
UNDEFINED,org.bonitasoft.test.toolkit.api.APIHelper,56,1,34,638,0,56,108,141,D:\Projetos\_Web\bonita-web\test-toolkit\src\main\java\org\bonitasoft\test\toolkit\api\APIHelper.java,class,false
TEST,org.bonitasoft.console.server.servlet.ApplicationsExportServletTest,5,1,9,0,0,5,15,5,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\console\server\servlet\ApplicationsExportServletTest.java,class,false
TEST,org.bonitasoft.web.rest.server.datastore.bpm.connector.ConnectorInstanceItemWrapperTest,6,1,9,13,0,6,23,6,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\datastore\bpm\connector\ConnectorInstanceItemWrapperTest.java,class,false
ABSTRACTATTRIBUTEREADER,org.bonitasoft.console.client.data.item.attribute.reader.ProfileEntryNameAttributeReader,4,2,3,0,0,4,5,8,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\data\item\attribute\reader\ProfileEntryNameAttributeReader.java,class,false
PERSISTENCE,org.bonitasoft.web.rest.server.datastore.filter.FormMappingTypeCreator,2,2,5,1,0,2,1,4,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\filter\FormMappingTypeCreator.java,class,false
[IITEM],org.bonitasoft.web.toolkit.client.data.item.Item,53,1,10,1008,0,53,63,156,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\Item.java,class,false
TEST,org.bonitasoft.web.toolkit.client.data.item.attribute.modifier.tests.DefaultValueModifierTest,3,1,3,3,0,3,4,3,D:\Projetos\_Web\bonita-web\portal\src\test\java\org\bonitasoft\web\toolkit\client\data\item\attribute\modifier\tests\DefaultValueModifierTest.java,class,false
DOMIMPL,com.google.gwt.dom.client.DOMImplWebkit,4,4,6,6,0,4,5,6,D:\Projetos\_Web\bonita-web\forms\forms-view\src\main\java\com\google\gwt\dom\client\DOMImplWebkit.java,class,false
API,org.bonitasoft.web.rest.server.api.application.APIApplication,11,3,17,9,0,11,12,11,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\application\APIApplication.java,class,false
TEST,org.bonitasoft.web.rest.server.api.bpm.cases.APICaseIntegrationTest,19,5,16,39,0,19,78,20,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\api\bpm\cases\APICaseIntegrationTest.java,class,false
UNDEFINED,org.bonitasoft.web.toolkit.client.ui.page.ItemQuickDetailsPage.ItemDetailsMetadata,10,1,5,13,0,10,3,14,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\page\ItemQuickDetailsPage\ItemDetailsMetadata.java,class,false
BUSINESSDATAREFERENCECLIENT,org.bonitasoft.web.rest.server.api.bdm.MultipleBusinessDataReferenceClient,4,2,2,0,0,4,2,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bdm\MultipleBusinessDataReferenceClient.java,class,false
ITEMDEFINITION,org.bonitasoft.web.rest.model.portal.profile.ProfileDefinition,6,2,4,11,0,6,4,6,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\portal\profile\ProfileDefinition.java,class,false
UNDEFINED,org.bonitasoft.web.rest.server.api.resource.ErrorMessage,7,1,3,13,1,7,5,9,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\resource\ErrorMessage.java,class,false
EXCEPTION,org.bonitasoft.web.rest.server.framework.exception.APIAttributeMissingException,2,7,1,1,0,2,3,2,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\framework\exception\APIAttributeMissingException.java,class,false
VALIDATOR,org.bonitasoft.web.toolkit.client.data.item.attribute.validator.StringLengthValidator,2,4,2,0,0,2,4,4,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\validator\StringLengthValidator.java,class,false
MODIFIER,org.bonitasoft.web.toolkit.client.data.item.attribute.modifier.RemoveNewLineModifier,1,5,1,0,0,1,0,1,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\modifier\RemoveNewLineModifier.java,class,false
TEST,org.bonitasoft.livingapps.menu.RootMenuCollectorTest,2,1,4,0,0,2,5,2,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\livingapps\menu\RootMenuCollectorTest.java,class,false
HTTPSERVLET,org.bonitasoft.console.common.server.servlet.PageUploadServlet,5,4,7,10,0,5,21,14,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\servlet\PageUploadServlet.java,class,false
SERVICE,org.bonitasoft.console.server.service.BonitaImportService,12,3,8,66,0,12,24,32,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\server\service\BonitaImportService.java,class,false
PERSISTENCE,org.bonitasoft.web.rest.server.datastore.bpm.flownode.archive.AbstractArchivedFlowNodeDatastore,11,3,19,55,1,11,46,16,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\bpm\flownode\archive\AbstractArchivedFlowNodeDatastore.java,class,false
CALLABLE,org.bonitasoft.console.client.admin.process.view.section.category.action.CreateCategoryAction,2,3,4,0,0,2,2,2,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\admin\process\view\section\category\action\CreateCategoryAction.java,class,false
UNDEFINED,org.bonitasoft.web.toolkit.client.ui.component.CommonTemplates,2,1,4,0,0,2,1,2,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\CommonTemplates.java,class,false
TEST,org.bonitasoft.web.rest.server.datastore.profile.GetProfileHelperTest,2,2,11,0,0,2,16,2,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\datastore\profile\GetProfileHelperTest.java,class,false
UNDEFINED,org.bonitasoft.web.toolkit.client.common.texttemplate.Arg,4,1,0,0,0,4,2,5,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\common\texttemplate\Arg.java,class,false
CALLABLE,org.bonitasoft.console.client.admin.process.view.section.entitymapping.action.ShowAddRoleToActorPageAction,2,3,3,0,0,2,2,2,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\admin\process\view\section\entitymapping\action\ShowAddRoleToActorPageAction.java,class,false
TEST,org.bonitasoft.web.toolkit.client.RequestBuilderTest,2,1,2,1,0,2,11,4,D:\Projetos\_Web\bonita-web\portal\src\test\java\org\bonitasoft\web\toolkit\client\RequestBuilderTest.java,class,false
[REQUESTCALLBACK],org.bonitasoft.web.toolkit.client.data.api.callback.HttpCallback,6,1,11,15,0,6,27,28,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\data\api\callback\HttpCallback.java,class,false
ITEMDEFINITION,org.bonitasoft.web.rest.model.identity.CustomUserInfoDefinition,7,2,5,19,1,7,5,7,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\identity\CustomUserInfoDefinition.java,class,false
TEST,org.bonitasoft.web.rest.server.api.applicationpage.APIApplicationPageTest,7,1,20,0,0,7,32,8,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\api\applicationpage\APIApplicationPageTest.java,class,false
VALIDATOR,org.bonitasoft.web.toolkit.client.data.item.attribute.validator.DateMinMaxValidator,5,5,2,0,1,5,3,17,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\validator\DateMinMaxValidator.java,class,false
UNDEFINED,org.bonitasoft.web.rest.server.engineclient.ActivityEngineClient,4,1,4,0,0,4,6,7,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\engineclient\ActivityEngineClient.java,class,false
VALIDATOR,org.bonitasoft.web.toolkit.client.data.item.attribute.validator.StringMinMaxLengthValidator,3,4,2,0,0,3,4,17,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\toolkit\client\data\item\attribute\validator\StringMinMaxLengthValidator.java,class,false
HTTPCALLBACK,org.bonitasoft.web.toolkit.client.data.api.callback.APICallbackAction,4,3,2,0,0,4,1,6,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\data\api\callback\APICallbackAction.java,class,false
