DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,com.qcadoo.mes.emailNotifications.constants.EmailNotificationsConstants,1,1,0,0,0,1,0,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-email-notifications\src\main\java\com\qcadoo\mes\emailNotifications\constants\EmailNotificationsConstants.java,class,false
SERVICE,com.qcadoo.mes.deliveries.hooks.DeliveredProductDetailsHooks,14,1,18,77,0,14,47,38,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-deliveries\src\main\java\com\qcadoo\mes\deliveries\hooks\DeliveredProductDetailsHooks.java,class,true
SERVICE,com.qcadoo.mes.ordersForSubproductsGeneration.hooks.OrderHooksOFSPG,2,1,3,1,0,2,6,5,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-orders-for-subproducts-generation\src\main\java\com\qcadoo\mes\ordersForSubproductsGeneration\hooks\OrderHooksOFSPG.java,class,true
UNDEFINED,com.qcadoo.mes.advancedGenealogy.constants.MessageFieldsAG,1,1,0,0,0,1,0,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\main\java\com\qcadoo\mes\advancedGenealogy\constants\MessageFieldsAG.java,class,false
UNDEFINED,com.qcadoo.mes.techSubcontrForOrderSupplies.states.TSFOrderSuppliesOrderStateValidationServiceTest,0,1,2,0,0,0,0,0,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-tech-subcontr-for-order-supplies\src\test\java\com\qcadoo\mes\techSubcontrForOrderSupplies\states\TSFOrderSuppliesOrderStateValidationServiceTest.java,class,false
UNDEFINED,com.qcadoo.mes.assignmentToShift.dataProviders.AssignmentToShiftCriteria,12,1,3,24,0,12,7,18,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-assignment-to-shift\src\main\java\com\qcadoo\mes\assignmentToShift\dataProviders\AssignmentToShiftCriteria.java,class,false
SERVICE,com.qcadoo.mes.basic.listeners.AttachmentsListeners,1,1,7,0,0,1,18,7,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic\src\main\java\com\qcadoo\mes\basic\listeners\AttachmentsListeners.java,class,true
TEST,com.qcadoo.mes.operationTimeCalculations.OrderRealizationTimeServiceImplTest,6,1,18,3,0,6,24,6,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-operation-time-calculations\src\test\java\com\qcadoo\mes\operationTimeCalculations\OrderRealizationTimeServiceImplTest.java,class,false
SERVICE,com.qcadoo.mes.productFlowThruDivision.warehouseIssue.ProductToIssueCorrectionService,5,1,8,4,0,5,34,14,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-product-flow-thru-division\src\main\java\com\qcadoo\mes\productFlowThruDivision\warehouseIssue\ProductToIssueCorrectionService.java,class,true
SERVICE,com.qcadoo.mes.cmmsMachineParts.criteriaModifiers.ActionCriteriaModifiers,5,1,6,10,0,5,13,11,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-cmms-machine-parts\src\main\java\com\qcadoo\mes\cmmsMachineParts\criteriaModifiers\ActionCriteriaModifiers.java,class,true
