DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,org.archive.crawler.frontier.CostAssignmentPolicy,1,1,1,0,3,1,0,1,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\CostAssignmentPolicy.java,class,false
DECIDERULE,org.archive.modules.deciderules.TransclusionDecideRule,6,3,2,15,0,6,10,21,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\TransclusionDecideRule.java,class,false
DECIDERULE,org.archive.modules.deciderules.ViaSurtPrefixedDecideRule,3,3,4,0,0,3,6,8,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\ViaSurtPrefixedDecideRule.java,class,false
TEST,org.archive.util.BloomFilter64bitTest,1,3,3,0,0,1,0,1,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\util\BloomFilter64bitTest.java,class,false
TEST,org.archive.crawler.frontier.precedence.SuccessCountsQueuePrecedencePolicyTest,0,3,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\frontier\precedence\SuccessCountsQueuePrecedencePolicyTest.java,class,false
ABSTRACTLONGFPSET,org.archive.util.fingerprint.MemLongFPSet,10,2,4,5,0,10,6,15,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\fingerprint\MemLongFPSet.java,class,false
UNDEFINED,org.archive.util.PrefixFinder,6,1,3,15,0,6,18,28,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\PrefixFinder.java,class,false
PROCESSOR,org.archive.modules.extractor.HTTPContentDigest,7,2,4,19,0,7,32,17,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\extractor\HTTPContentDigest.java,class,false
UNDEFINED,org.archive.modules.recrawl.AbstractContentDigestHistory,3,1,1,3,1,3,1,5,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\recrawl\AbstractContentDigestHistory.java,class,false
SETBASEDURIUNIQFILTER,org.archive.crawler.util.MemUriUniqFilter,4,2,1,0,0,4,3,4,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\util\MemUriUniqFilter.java,class,false
[TEMPDIRPROVIDER],org.archive.modules.net.DefaultTempDirProvider,2,1,1,1,0,2,4,3,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\net\DefaultTempDirProvider.java,class,false
[PROPERTYEDITOR],org.archive.io.ReadSourceEditor,12,1,2,64,0,12,3,12,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\io\ReadSourceEditor.java,class,false
DECIDERULE,org.archive.modules.deciderules.ExpressionDecideRule,4,3,4,4,0,4,16,8,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\deciderules\ExpressionDecideRule.java,class,false
TEST,org.archive.crawler.selftest.CharsetSelfTest,1,3,1,0,0,1,5,1,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\selftest\CharsetSelfTest.java,class,false
TEST,org.archive.modules.extractor.HTTPContentDigestTest,0,4,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\extractor\HTTPContentDigestTest.java,class,false
[LIFECYCLE],org.archive.modules.recrawl.hbase.HBaseTableBean,13,1,6,58,1,13,0,13,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\recrawl\hbase\HBaseTableBean.java,class,false
TEST,org.archive.crawler.selftest.BadURIsStopPageParsingSelfTest,2,3,1,1,0,2,7,6,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\selftest\BadURIsStopPageParsingSelfTest.java,class,false
ASYNCTASK,org.archive.crawler.reporting.AlertThreadGroup,8,2,2,18,0,8,19,18,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\AlertThreadGroup.java,class,false
TEST,org.archive.crawler.frontier.BdbMultipleWorkQueuesTest,1,2,3,0,0,1,13,3,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\frontier\BdbMultipleWorkQueuesTest.java,class,false
