Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design,Deveria ser REFATORADO por conta desse problema?,"Se DISCORDAR, quais os motivos? "
 V ,PREFERENCE,com.zegoggles.smssync.activity.StatusPreference,restoreStateChanged,26,6,5,1,Muitos Desvios,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.mail.Attachment,createPartFromUri,3,1,5,4,Muitos Parametros,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,startRestore,27,5,7,0,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.utils.ThreadHelper,getThreadId,30,11,12,2,Metodo Longo,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.utils.ListPreferenceHelper,initListPreference,29,8,0,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.PersonLookup,lookupPerson,27,8,10,1,Alto Acoplamento Efferent,(1) Discordo Fortemente;
" A, V, X ",[TRUSTEDSOCKETFACTORY],com.zegoggles.smssync.mail.AllTrustedSocketFactory,createSocket,14,2,7,4,Muitos Parametros,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.service.BackupJobs,schedule,18,9,6,3,Muitos Desvios,(1) Discordo Fortemente;
 V ,TEST,com.zegoggles.smssync.service.CalendarSyncerTest,shouldSyncCalendar,15,1,9,0,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.ConversionResult,add,15,4,9,2,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.auth.OAuth2Client,getUsernameFromContacts,28,5,9,1,Metodo Longo,(1) Discordo Fortemente;
 V ,TEST,com.zegoggles.smssync.mail.MessageGeneratorTest,mockCalllogMessage,7,1,6,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,APPLICATION,com.zegoggles.smssync.App,onCreate,34,3,0,0,Metodo Longo,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.ServiceBase,isConnectedViaWifi_SDK21,9,5,3,0,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.utils.AppLog,readLog,25,5,7,1,Metodo Longo,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,setOauth2Token,5,1,2,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onPurchasesUpdated,30,12,4,2,Metodo Longo,(1) Discordo Fortemente;
 V ,PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,getMessages,28,2,0,3,Metodo Longo,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,formatForCalendar,8,2,4,3,Muitos Parametros,(1) Discordo Fortemente;
" A, V, X ",TEST,com.zegoggles.smssync.service.CalendarSyncerTest,message,8,1,5,4,Muitos Parametros,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,handleAuthError,24,5,9,3,Muitos Desvios,(1) Discordo Fortemente;
" A, V, X ",ACTIVITY,com.zegoggles.smssync.activity.MainActivity,onActivityResult,46,14,11,3,Muitos Desvios,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.SmsJobService,onStartJob,22,5,6,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,onBillingSetupFinished,23,12,7,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPost40,getCalendars,26,6,9,0,Metodo Longo,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,mapTextCallType,16,6,1,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,importCallLog,11,5,7,1,Muitos Desvios,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.utils.AppLog,onLayout,4,1,2,5,Muitos Parametros,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.MmsSupport,getDetails,25,6,16,2,Metodo Longo,(1) Discordo Fortemente;
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,backupStateChanged,5,5,2,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,messageFromMapSms,28,5,14,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.utils.ListPreferenceHelper,initListPreference,29,8,0,3,Metodo Longo,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,messageFromMapCallLog,40,11,15,1,Alto Acoplamento Efferent,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,messageFromMapSms,28,5,14,1,Alto Acoplamento Efferent,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.service.BackupJobs,schedule,18,9,6,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,mapCallType,16,6,1,1,Muitos Desvios,(1) Discordo Fortemente;
 V ,UNDEFINED,com.zegoggles.smssync.mail.MessageConverter,messageToContentValues,39,8,13,1,Metodo Longo,(1) Discordo Fortemente;
 V ,TEST,com.zegoggles.smssync.service.BackupJobsTest,verifyJobScheduled,20,3,5,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,FRAGMENT,com.zegoggles.smssync.activity.fragments.AdvancedSettings,onResume,32,1,0,0,Metodo Longo,(1) Discordo Fortemente;
 V ,PREFERENCE,com.zegoggles.smssync.activity.StatusPreference,getQuantityString,3,1,3,3,Muitos Parametros,(1) Discordo Fortemente;
 V ,SERVICE,com.zegoggles.smssync.service.SmsBackupService,handleErrorState,24,8,2,1,Muitos Desvios,(1) Discordo Fortemente;
" A, V, X ",UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,formatUri,3,1,2,5,Muitos Parametros,(1) Discordo Fortemente;
