Classe                              ;DesignRoleTechnique                        ;Concorda?;
com.zegoggles.smssync.service.SmsBackupService;SERVICE;SIM;
com.zegoggles.smssync.activity.fragments.SMSBackupPreferenceFragment;FRAGMENT;SIM;
com.zegoggles.smssync.service.SmsJobService;SERVICE;SIM;
com.zegoggles.smssync.preferences.PreferencesTest;TEST;SIM;
com.zegoggles.smssync.activity.auth.RedirectReceiverActivity;ACTIVITY;SIM;
com.zegoggles.smssync.preferences.AuthPreferences;UNDEFINED;SIM;
com.zegoggles.smssync.service.exception.NoConnectionException;EXCEPTION;SIM;
com.zegoggles.smssync.activity.ThemeActivity;ACTIVITY;SIM;
com.zegoggles.smssync.service.BackupQueryBuilder;UNDEFINED;SIM;
com.zegoggles.smssync.activity.auth.OAuth2WebAuthActivity;ACTIVITY;SIM;
com.zegoggles.smssync.auth.TokenRefresher;UNDEFINED;SIM;
com.zegoggles.smssync.preferences.DataTypePreferences;VIEW;SIM;
com.zegoggles.smssync.service.SmsRestoreService;SERVICE;SIM;
com.zegoggles.smssync.service.RestoreConfig;UNDEFINED;SIM;
com.zegoggles.smssync.receiver.PackageReplacedReceiver;BROADCASTRECEIVER;SIM;
