"Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? "
" R, D ;PERSISTENCE;com.zegoggles.smssync.mail.BackupImapStore;search;6;9;6;0;Muitos Desvios;(1) Discordo Fortemente;;"
 R ;ACTIVITY;com.zegoggles.smssync.activity.donation.DonationActivity;checkUserHasDonated;35;2;0;2;Metodo Longo;(1) Discordo Fortemente;;
" R, D ;ACTIVITY;com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity;refreshOAuth2Token;34;6;11;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;COMMONSHTTPOAUTHCONSUMER;com.zegoggles.smssync.auth.XOAuthConsumer;getUsernameFromContacts;42;1;0;0;Metodo Longo;(1) Discordo Fortemente;;"
 R ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;backup;62;24;12;6;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapMms;62;13;24;1;Muitos Desvios;(1) Discordo Fortemente;;"
" A, R, X ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;doInBackground;49;16;16;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, R, D, X ;COMMONSHTTPOAUTHCONSUMER;com.zegoggles.smssync.auth.XOAuthConsumer;startElement;3;1;11;4;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.PersonLookup;getPrimaryEmail;28;10;5;2;Muitos Desvios;(1) Discordo Fortemente;;"
 D ;PERSISTENCE;com.zegoggles.smssync.mail.BackupImapStore;compare;5;5;4;2;Muitos Desvios;(1) Discordo Fortemente;;
 D ;PERSISTENCE;com.zegoggles.smssync.mail.BackupImapStore;getFolder;17;4;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 R ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;importSms;19;11;10;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.Attachment;createPartFromUri;3;1;5;4;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;ACTIVITY;com.zegoggles.smssync.activity.MainActivity;shouldOverrideUrlLoading;4;3;10;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
 R ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;importMessage;31;8;9;1;Metodo Longo;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.utils.ThreadHelper;getThreadId;30;11;12;2;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageConverter;cursorToMessages;40;8;14;3;Metodo Longo;(1) Discordo Fortemente;;"
 R ;PREFERENCE;com.zegoggles.smssync.activity.StatusPreference;onClick;25;8;8;1;Muitos Desvios;(1) Discordo Fortemente;;
 R ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;importMessage;31;8;9;1;Muitos Desvios;(1) Discordo Fortemente;;
