DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;13.6;
TIPRESENTER;45;11;11;3;680;16.47;
ACTIVITY;132;13;10;2;3488;14.49;
ADAPTER;145;24;16;3;680;1.14;
ENTITY;47;11;6;2;680;12.44;
FRAGMENT;311;25;14;2;4557;25.93;
VIEW;214;47;16;3;3620;10.09;
SERVICE;123;23;17;3;1441;1.31;
