DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;65;12;12;3;869;12.96;
ABSTRACTCOMMAND;90;27;14;3;355;1.24;
[SIMPORTERFACTORY];109;3;7;2;525;1.14;
SELECTORCOMPOSER;47;7;9;2;355;3.37;
MODEL;36;11;9;3;587;8.72;
XULELEMENT;123;19;16;6;4440;4.59;
ABSTRACTEXPORTER;78;19;17;3;489;1.59;
ABSTRACTIMPORTER;82;16;17;2;563;1.7;
TEST;70;3;8;2;1011;37.51;
ABSTRACTHANDLER;43;12;16;2;355;1.01;
ENTITY;78;23;15;5;1035;18.6;
RANGEHELPERBASE;90;32;12;6;722;3.24;
ACTION;38;7;7;2;355;1.41;
