DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;28.65;
TEST;45;7;7;2;680;13.51;
ACTIVITY;132;13;10;2;3488;9.81;
ADAPTER;145;24;16;3;680;2.26;
NAMESPACE;77;37;13;2;680;1.25;
BASECASTMANAGER;45;7;8;3;913;2.34;
FRAGMENT;311;25;14;2;4557;17.46;
FEEDCOMPONENT;45;8;6;2;680;2.93;
VIEW;214;47;16;3;3620;2.09;
SERVICE;123;23;17;3;1441;9.76;
