DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;11.11;
BROADCASTRECEIVER;61;14;16;3;680;9.8;
DASHCLOCKEXTENSION;45;12;10;2;680;1.41;
ACTIVITY;132;13;10;2;3488;44.58;
ASYNCTASK;158;36;20;2;680;5.71;
ENTITY;47;11;6;2;680;12.59;
FRAGMENT;311;25;14;2;4557;4.23;
WIDGET;50;8;15;3;680;9.39;
