DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;13.88;
ACTIVITY;132;13;10;2;3488;18.15;
ADAPTER;145;24;16;3;680;10.01;
HASHMAP;45;10;7;2;680;1.11;
PERSISTENCE;92;19;13;4;708;3.47;
FRAGMENT;311;25;14;2;4557;5.21;
[HANDLER.CALLBACK];79;13;11;2;680;3.45;
VIEW;214;47;16;3;3620;19.89;
WIDGET;50;8;15;3;680;2.95;
COMMON;45;23;9;2;680;3.61;
SERVICE;123;23;17;3;1441;13.36;
