DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;32.88;
TEST;45;7;7;2;680;2.86;
ACTIVITY;132;13;10;2;3488;9.55;
ADAPTER;145;24;16;3;680;1.61;
PERSISTENCE;92;19;13;4;708;10.9;
ENTITY;47;11;6;2;680;2.59;
FRAGMENT;311;25;14;2;4557;8.61;
VIEW;214;47;16;3;3620;11.69;
MODEL;45;7;9;2;680;1.8;
SERVICE;123;23;17;3;1441;2.05;
JOB;50;12;20;3;680;5.77;
