DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;17.58;
TEST;45;7;7;2;680;1.52;
ACTIVITY;132;13;10;2;3488;8.75;
ADAPTER;145;24;16;3;680;4.13;
DIALOG;121;19;13;3;1214;1.53;
LIVEDATA;45;7;14;2;680;2.27;
APPLICATION;61;9;10;2;680;2.29;
ENTITY;47;11;6;2;680;2.78;
FRAGMENT;311;25;14;2;4557;41.36;
VIEW;214;47;16;3;3620;4.69;
MODEL;45;7;9;2;680;3.87;
SERVICE;123;23;17;3;1441;6.25;
