DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;11.26;
TEST;45;7;7;2;680;26.75;
ABSTRACTBASEPRESENTER;45;7;6;2;680;3.05;
ACTIVITY;132;13;10;2;3488;4.26;
ADAPTER;145;24;16;3;680;1.28;
PERSISTENCE;92;19;13;4;708;3.74;
FRAGMENT;311;25;14;2;4557;30.88;
VIEW;214;47;16;3;3620;2.16;
MODEL;45;7;9;2;680;12.04;
SERVICE;123;23;17;3;1441;1.14;
