DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;19.81;
BROADCASTRECEIVER;61;14;16;3;680;1.15;
ACTIVITY;132;13;10;2;3488;5.12;
ADAPTER;145;24;16;3;680;6.04;
PERSISTENCE;92;19;13;4;708;2.41;
[IHTTPSESSION];91;20;16;2;680;2.98;
[CLOSEABLE];45;11;10;2;680;1.39;
BASEELEMENT;45;7;6;2;680;2.14;
ENTITY;47;11;6;2;680;4.37;
FRAGMENT;311;25;14;2;4557;35.87;
SESSIONMANAGER;45;9;11;2;680;3.64;
ABSTRACTSTATEPARCEL;45;7;6;2;680;1.64;
SERVICE;123;23;17;3;1441;7.9;
