DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;17.55;
BROADCASTRECEIVER;61;14;16;3;680;2.82;
TEST;45;7;7;2;680;9.53;
ACTIVITY;132;13;10;2;3488;7.7;
ADAPTER;145;24;16;3;680;9.62;
DIALOG;121;19;13;3;1214;4.68;
ENTITY;47;11;6;2;680;3.51;
FRAGMENT;311;25;14;2;4557;16.59;
VIEW;214;47;16;3;3620;21.24;
SERVICE;123;23;17;3;1441;4.52;
