DesignRoleTechnique;LOC;CC;Efferent;NOP;
ENTITY;6;1;1;0;
CONTROLLER;28;4;9;0;
PERSISTENCE;41;5;11;3;
UNDEFINED;97;19;10;3;
SERVICE;39;7;12;4;
