DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;21.97;
SHAPEDRAWABLE;45;7;6;2;680;1.76;
TEST;45;7;7;2;680;4.75;
[CONTACTSREPO];45;7;6;2;680;1.02;
ACTIVITY;132;13;10;2;3488;14.96;
BASEOBSERVABLE;45;7;6;2;680;19.16;
WAYPOINTSREPO;45;7;6;2;680;1.23;
ENTITY;47;11;6;2;680;1.49;
[INCOMINGMESSAGEPROCESSOR];45;7;8;2;680;2.99;
FRAGMENT;311;25;14;2;4557;5.44;
VIEW;214;47;16;3;3620;4.14;
SERVICE;123;23;17;3;1441;16.24;
