DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;29;
APPINTRO;45;7;6;2;680;1.65;
NANOHTTPD;90;24;18;2;680;3.68;
ACTIVITY;132;13;10;2;3488;28.11;
ASYNCTASK;158;36;20;2;680;3.46;
FRAGMENT;311;25;14;2;4557;20.41;
VIEW;214;47;16;3;3620;6.73;
MULTIDEXAPPLICATION;54;7;13;2;680;1.22;
SERVICE;123;23;17;3;1441;4.05;
