DesignRoleTechnique;LOC;CC;Efferent;NOP;CLOC;
ENTITY;9;2;2;0;118;
CONTROLLER;36;7;11;3;283;
PERSISTENCE;41;5;6;3;125;
UNDEFINED;50;9;12;3;158;
SERVICE;37;7;11;3;153;
