DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
TEST,org.openmrs.validator.ValidateUtilTest,8,3,8,28,0,8,14,11,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ValidateUtilTest.java,class,false
TEST,org.openmrs.propertyeditor.VisitEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\VisitEditorTest.java,class,false
[CUSTOMDATATYPEHANDLER],org.openmrs.attribute.handler.BaseDatatypeHandler,1,1,4,0,1,1,0,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\attribute\handler\BaseDatatypeHandler.java,class,false
UNDEFINED,org.openmrs.hl7.HL7Util,6,1,2,5,0,6,25,51,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\HL7Util.java,class,false
BASEOPENMRSOBJECT,org.openmrs.PersonAddress,67,4,5,2051,0,67,40,79,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\PersonAddress.java,class,false
BASEOPENMRSOBJECT,org.openmrs.BaseOpenmrsMetadata,22,2,9,211,0,22,1,22,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\BaseOpenmrsMetadata.java,class,false
TEST,org.openmrs.api.db.SerializedObjectDAOTest,11,3,8,0,0,11,27,13,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\SerializedObjectDAOTest.java,class,false
BASEOPENMRSOBJECT,org.openmrs.EncounterProvider,11,4,6,47,0,11,24,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\EncounterProvider.java,class,false
UNDEFINED,org.openmrs.Duration,3,1,5,1,0,3,16,24,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Duration.java,class,false
BASEOPENMRSOBJECT,org.openmrs.Relationship,20,4,5,136,0,20,19,21,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Relationship.java,class,false
[COMPARISONOPERATOR],org.openmrs.logic.op.LessThan,1,1,1,0,0,1,0,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\logic\op\LessThan.java,class,false
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateTemplateDAO,8,1,4,0,0,8,12,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateTemplateDAO.java,class,false
EXCEPTION,org.openmrs.api.InvalidOperationOnObjectException,4,3,1,6,1,4,1,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\InvalidOperationOnObjectException.java,class,false
[VALIDATOR],org.openmrs.validator.AlertValidator,2,1,4,1,0,2,5,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\AlertValidator.java,class,false
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.ConvertOrderersToProviders,8,1,9,28,0,8,21,23,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\ConvertOrderersToProviders.java,class,false
TEST,org.openmrs.util.JavaVersionTest,3,1,4,3,0,3,5,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\JavaVersionTest.java,class,false
BASEOPENMRSOBJECT,org.openmrs.hl7.HL7InArchive,10,3,3,39,0,10,9,10,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\HL7InArchive.java,class,false
EXCEPTION,org.openmrs.api.EditedOrderDoesNotMatchPreviousException,1,4,1,0,0,1,0,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\EditedOrderDoesNotMatchPreviousException.java,class,false
TEST,org.openmrs.api.db.hibernate.ImmutableEntityInterceptorTest,9,3,7,16,0,9,9,9,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\ImmutableEntityInterceptorTest.java,class,false
[FILTERCHAIN],org.openmrs.module.web.filter.ModuleFilterChain,3,1,6,0,0,3,5,5,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\module\web\filter\ModuleFilterChain.java,class,false
BASEOPENMRSOBJECT,org.openmrs.ConceptDatatype,20,4,2,172,0,20,4,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\ConceptDatatype.java,class,false
TEST,org.openmrs.EncounterRoleTest,1,1,2,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\EncounterRoleTest.java,class,false
TEST,org.openmrs.propertyeditor.ConceptNumericEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ConceptNumericEditorTest.java,class,false
TEST,org.openmrs.propertyeditor.PrivilegeEditorTest,3,3,4,3,0,3,4,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PrivilegeEditorTest.java,class,false
TEST,org.openmrs.api.impl.PatientServiceImplTest,16,2,18,0,0,16,54,19,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\impl\PatientServiceImplTest.java,class,false
[APPLICATION],org.openmrs.hl7.handler.ORUR01Handler,35,1,74,565,0,35,238,272,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\hl7\handler\ORUR01Handler.java,class,false
TEST,org.openmrs.validator.BaseAttributeTypeValidatorTest,18,3,9,0,0,18,21,18,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\BaseAttributeTypeValidatorTest.java,class,false
[VALIDATOR],org.openmrs.validator.ImplementationIdValidator,2,1,6,1,0,2,5,6,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ImplementationIdValidator.java,class,false
TEST,org.openmrs.BaseOpenmrsObjectTest,22,6,13,594,0,22,21,59,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\BaseOpenmrsObjectTest.java,class,false
SERVICE,org.openmrs.api.impl.ProgramWorkflowServiceImpl,50,2,19,0,0,50,105,131,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\ProgramWorkflowServiceImpl.java,class,false
TEST,org.openmrs.EncounterTypeTest,1,1,2,0,0,1,3,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\EncounterTypeTest.java,class,false
TEST,org.openmrs.OrderTypeTest,3,1,3,3,0,3,9,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\OrderTypeTest.java,class,false
ENTITY,org.openmrs.propertyeditor.UserEditor,3,3,2,3,0,3,3,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\propertyeditor\UserEditor.java,class,false
[VALIDATOR],org.openmrs.validator.StateConversionValidator,2,1,5,1,0,2,5,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\StateConversionValidator.java,class,false
TEST,org.openmrs.propertyeditor.PersonEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\PersonEditorTest.java,class,false
OPENMRSMEMENTO,org.openmrs.scheduler.timer.TimerSchedulerMemento,7,2,1,0,0,7,3,7,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\scheduler\timer\TimerSchedulerMemento.java,class,false
BASEOPENMRSOBJECT,org.openmrs.Privilege,9,4,1,16,0,9,2,9,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Privilege.java,class,false
DATE,org.openmrs.util.AttributableDate,7,2,4,15,0,7,5,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\AttributableDate.java,class,false
PERSISTENCE,org.openmrs.api.context.TestUsernameAuthenticationScheme,1,2,5,0,0,1,3,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\context\TestUsernameAuthenticationScheme.java,class,false
EXCEPTION,org.openmrs.api.CannotDeleteRoleWithChildrenException,4,3,1,6,0,4,0,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\CannotDeleteRoleWithChildrenException.java,class,false
SERVICE,org.openmrs.api.impl.SerializationServiceImpl,7,2,10,1,0,7,16,27,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\SerializationServiceImpl.java,class,false
TEST,org.openmrs.validator.PatientProgramValidatorTest,22,3,12,231,0,22,47,22,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\PatientProgramValidatorTest.java,class,false
[INTERCEPTOR],org.openmrs.api.db.hibernate.ChainingInterceptor,19,1,7,0,0,19,27,59,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\ChainingInterceptor.java,class,false
TEST,org.openmrs.validator.PrivilegeValidatorTest,5,3,5,10,0,5,11,5,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\PrivilegeValidatorTest.java,class,false
BASEOPENMRSOBJECT,org.openmrs.person.PersonMergeLog,12,4,3,56,0,12,2,12,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\person\PersonMergeLog.java,class,false
TEST,org.openmrs.propertyeditor.LocationAttributeTypeEditorTest,3,4,6,3,0,3,2,3,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\LocationAttributeTypeEditorTest.java,class,false
TEST,org.openmrs.test.CreateConceptDictionaryDataSet,2,3,7,1,0,2,5,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateConceptDictionaryDataSet.java,class,false
TEST,org.openmrs.comparator.PatientIdentifierTypeDefaultComparatorTest,1,1,2,0,0,1,7,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\comparator\PatientIdentifierTypeDefaultComparatorTest.java,class,false
TEST,org.openmrs.propertyeditor.FormEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\FormEditorTest.java,class,false
UNDEFINED,org.openmrs.module.ModuleConditionalResource,16,1,2,24,0,16,4,35,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\ModuleConditionalResource.java,class,false
BASEOPENMRSOBJECT,org.openmrs.api.db.ClobDatatypeStorage,4,2,1,2,0,4,0,4,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\ClobDatatypeStorage.java,class,false
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.MigrateAllergiesChangeSet,7,1,7,19,0,7,21,29,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\MigrateAllergiesChangeSet.java,class,false
SERIALIZINGCUSTOMDATATYPE,org.openmrs.customdatatype.datatype.ProgramDatatype,1,4,4,0,0,1,3,3,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\customdatatype\datatype\ProgramDatatype.java,class,false
UNDEFINED,org.openmrs.module.Module,80,1,11,2958,0,80,44,127,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\Module.java,class,false
UNDEFINED,org.openmrs.api.db.hibernate.HibernateUtil,7,1,11,13,0,7,32,21,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateUtil.java,class,false
TEST,org.openmrs.api.AdministrationServiceTest,60,3,17,0,0,60,96,64,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\AdministrationServiceTest.java,class,false
TEST,org.openmrs.util.ExceptionUtilTest,2,1,2,1,0,2,12,9,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\ExceptionUtilTest.java,class,false
TEST,org.openmrs.validator.StateConversionValidatorTest,4,3,8,6,0,4,16,4,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\StateConversionValidatorTest.java,class,false
ABSTRACTCONTEXTLOADER,org.openmrs.web.test.TestContextLoader,4,2,8,6,0,4,4,4,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\test\TestContextLoader.java,class,false
TEST,org.openmrs.propertyeditor.ConceptAnswerEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ConceptAnswerEditorTest.java,class,false
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateLocationDAO,26,1,10,0,0,26,41,58,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateLocationDAO.java,class,false
SERVICE,org.openmrs.api.impl.EncounterServiceImpl,57,2,29,666,0,57,156,179,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\EncounterServiceImpl.java,class,false
UNDEFINED,org.openmrs.util.databasechange.DatabaseUpgradeTestUtil,9,1,6,0,0,9,49,22,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\databasechange\DatabaseUpgradeTestUtil.java,class,false
UNDEFINED,org.openmrs.util.NaturalStrings,10,1,0,45,0,10,11,78,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\NaturalStrings.java,class,false
BASEOPENMRSOBJECT,org.openmrs.Drug,28,4,10,346,0,28,17,40,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Drug.java,class,false
TEST,org.openmrs.validator.ConceptReferenceTermValidatorTest,18,3,10,153,0,18,23,18,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\validator\ConceptReferenceTermValidatorTest.java,class,false
SERVICE,org.openmrs.api.impl.LocationServiceImpl,42,2,13,0,0,42,60,79,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\impl\LocationServiceImpl.java,class,false
ENTITY,org.openmrs.module.VersionComparator,1,1,0,0,0,1,1,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\module\VersionComparator.java,class,false
[ORDERNUMBERGENERATOR],org.openmrs.orders.TimestampOrderNumberGenerator,1,1,3,0,0,1,3,5,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\orders\TimestampOrderNumberGenerator.java,class,false
[TRANSFORMOPERATOR],org.openmrs.logic.op.First,1,1,1,0,0,1,0,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\logic\op\First.java,class,false
ENTITY,org.openmrs.obs.ComplexData,9,1,0,20,0,9,2,9,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\obs\ComplexData.java,class,false
EXCEPTION,org.openmrs.api.ShortPasswordException,2,4,1,1,0,2,0,2,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\ShortPasswordException.java,class,false
BASEOPENMRSOBJECT,org.openmrs.api.db.LoginCredential,20,2,3,170,0,20,4,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\LoginCredential.java,class,false
[IDENTIFIERVALIDATOR],org.openmrs.patient.impl.BaseHyphenatedIdentifierValidator,7,1,2,21,2,7,14,53,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\patient\impl\BaseHyphenatedIdentifierValidator.java,class,false
TEST,org.openmrs.propertyeditor.EncounterEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\EncounterEditorTest.java,class,false
H2DIALECT,org.openmrs.util.databasechange.H2LessStrictDialect,1,2,1,0,0,1,2,1,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\databasechange\H2LessStrictDialect.java,class,false
TEST,org.openmrs.web.WebUtilTest,15,1,2,105,0,15,8,18,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\WebUtilTest.java,class,false
BASEOPENMRSOBJECT,org.openmrs.TestOrder,16,4,9,90,0,16,22,16,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\TestOrder.java,class,false
